season,conference,team,offense,defense
2015,Mountain West,Air Force,"{'overall': 0.25, 'passing': 0.46, 'rushing': 0.2, 'firstDown': 0.14, 'secondDown': 0.24, 'thirdDown': 0.52, 'cumulative': {'total': 246.2, 'passing': 79.4, 'rushing': 165.1}}","{'overall': 0.15, 'passing': 0.26, 'rushing': 0.05, 'firstDown': -0.03, 'secondDown': 0.1, 'thirdDown': 0.53, 'cumulative': {'total': 135.3, 'passing': 1089.5, 'rushing': 23}}"
2015,Mid-American,Akron,"{'overall': 0.09, 'passing': 0.2, 'rushing': 0.04, 'firstDown': 0.04, 'secondDown': -0.02, 'thirdDown': 0.45, 'cumulative': {'total': 82.6, 'passing': 71.16, 'rushing': 22.1}}","{'overall': 0.06, 'passing': 0.17, 'rushing': -0.07, 'firstDown': -0.05, 'secondDown': 0.09, 'thirdDown': 0.32, 'cumulative': {'total': 55.8, 'passing': 836.2, 'rushing': -25.6}}"
2015,SEC,Alabama,"{'overall': 0.19, 'passing': 0.31, 'rushing': 0.13, 'firstDown': 0.07, 'secondDown': 0.22, 'thirdDown': 0.48, 'cumulative': {'total': 203.5, 'passing': 141.94, 'rushing': 81}}","{'overall': -0.03, 'passing': 0.02, 'rushing': -0.08, 'firstDown': -0.22, 'secondDown': -0.05, 'thirdDown': 0.37, 'cumulative': {'total': -27.6, 'passing': 102.8, 'rushing': -33.5}}"
2015,Sun Belt,App State,"{'overall': 0.24, 'passing': 0.46, 'rushing': 0.13, 'firstDown': 0.11, 'secondDown': 0.12, 'thirdDown': 0.65, 'cumulative': {'total': 217.5, 'passing': 138.58, 'rushing': 79.1}}","{'overall': -0.01, 'passing': 0.05, 'rushing': -0.04, 'firstDown': -0.14, 'secondDown': -0.02, 'thirdDown': 0.35, 'cumulative': {'total': -8.3, 'passing': 214.8, 'rushing': -17.8}}"
2015,Pac-12,Arizona,"{'overall': 0.23, 'passing': 0.25, 'rushing': 0.22, 'firstDown': 0.17, 'secondDown': 0.27, 'thirdDown': 0.47, 'cumulative': {'total': 231.9, 'passing': 122.39, 'rushing': 108.8}}","{'overall': 0.23, 'passing': 0.36, 'rushing': 0.13, 'firstDown': 0.02, 'secondDown': 0.19, 'thirdDown': 0.75, 'cumulative': {'total': 237.9, 'passing': 1700.7, 'rushing': 74.4}}"
2015,Pac-12,Arizona State,"{'overall': 0.16, 'passing': 0.27, 'rushing': 0.09, 'firstDown': 0, 'secondDown': 0.16, 'thirdDown': 0.54, 'cumulative': {'total': 177.8, 'passing': 151.48, 'rushing': 44.6}}","{'overall': 0.2, 'passing': 0.3, 'rushing': 0.1, 'firstDown': -0.01, 'secondDown': 0.24, 'thirdDown': 0.59, 'cumulative': {'total': 195.8, 'passing': 1658.1, 'rushing': 40.6}}"
2015,SEC,Arkansas,"{'overall': 0.33, 'passing': 0.55, 'rushing': 0.19, 'firstDown': 0.24, 'secondDown': 0.32, 'thirdDown': 0.66, 'cumulative': {'total': 297.1, 'passing': 210.82, 'rushing': 93.3}}","{'overall': 0.24, 'passing': 0.37, 'rushing': 0.11, 'firstDown': 0.18, 'secondDown': 0.13, 'thirdDown': 0.59, 'cumulative': {'total': 204.9, 'passing': 1693.7, 'rushing': 43.6}}"
2015,Sun Belt,Arkansas State,"{'overall': 0.15, 'passing': 0.19, 'rushing': 0.14, 'firstDown': 0, 'secondDown': 0.2, 'thirdDown': 0.49, 'cumulative': {'total': 151.5, 'passing': 74.29, 'rushing': 82.3}}","{'overall': 0.12, 'passing': 0.14, 'rushing': 0.09, 'firstDown': 0.01, 'secondDown': 0.09, 'thirdDown': 0.41, 'cumulative': {'total': 110.3, 'passing': 723.6, 'rushing': 38.3}}"
2015,FBS Independents,Army,"{'overall': 0.16, 'passing': 0.42, 'rushing': 0.12, 'firstDown': 0.04, 'secondDown': 0.04, 'thirdDown': 0.62, 'cumulative': {'total': 118, 'passing': 50.64, 'rushing': 71.7}}","{'overall': 0.2, 'passing': 0.4, 'rushing': 0.07, 'firstDown': 0.04, 'secondDown': 0.19, 'thirdDown': 0.49, 'cumulative': {'total': 148.5, 'passing': 1288.3, 'rushing': 28.9}}"
2015,SEC,Auburn,"{'overall': 0.17, 'passing': 0.28, 'rushing': 0.12, 'firstDown': 0, 'secondDown': 0.2, 'thirdDown': 0.48, 'cumulative': {'total': 160.4, 'passing': 92.83, 'rushing': 69.9}}","{'overall': 0.14, 'passing': 0.11, 'rushing': 0.17, 'firstDown': 0.01, 'secondDown': 0.13, 'thirdDown': 0.51, 'cumulative': {'total': 143.5, 'passing': 553, 'rushing': 89}}"
2015,Mid-American,Ball State,"{'overall': 0.08, 'passing': 0.13, 'rushing': 0.04, 'firstDown': 0.02, 'secondDown': 0.04, 'thirdDown': 0.3, 'cumulative': {'total': 69.2, 'passing': 60.53, 'rushing': 15.8}}","{'overall': 0.31, 'passing': 0.5, 'rushing': 0.17, 'firstDown': 0.11, 'secondDown': 0.4, 'thirdDown': 0.69, 'cumulative': {'total': 293, 'passing': 2110.4, 'rushing': 85}}"
2015,Big 12,Baylor,"{'overall': 0.36, 'passing': 0.5, 'rushing': 0.29, 'firstDown': 0.26, 'secondDown': 0.3, 'thirdDown': 0.59, 'cumulative': {'total': 399.2, 'passing': 200.29, 'rushing': 201.9}}","{'overall': 0.12, 'passing': 0.26, 'rushing': 0, 'firstDown': -0.05, 'secondDown': 0.08, 'thirdDown': 0.55, 'cumulative': {'total': 118.6, 'passing': 1219.7, 'rushing': -2.6}}"
