game_id,season,week,season_type,start_date,neutral_site,conference_game,home_team,home_conference,home_points,away_team,away_conference,away_points,home_pregame_elo,away_pregame_elo,excitement_index,point_diff,total_points
400795501,2015,1,regular,2015-08-29T19:30:00.000Z,False,False,Montana,Big Sky,38.0,North Dakota State,MVFC,35.0,,,,3.0,73.0
400763593,2015,1,regular,2015-09-03T22:00:00.000Z,False,False,UCF,American Athletic,14.0,Florida International,Conference USA,15.0,1626.0,1321.0,5.3903379073,-1.0,29.0
400603840,2015,1,regular,2015-09-03T22:00:00.000Z,True,False,South Carolina,SEC,17.0,North Carolina,ACC,13.0,1646.0,1477.0,7.94978585869999,4.0,30.0
400763399,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Central Michigan,Mid-American,13.0,Oklahoma State,Big 12,24.0,1417.0,1567.0,3.1885406359,-11.0,37.0
400795587,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Charleston Southern,Big South,41.0,North Greenville,Independent DII,14.0,,,,27.0,55.0
400756896,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Wake Forest,ACC,41.0,Elon,CAA,3.0,,,2.0872957646,38.0,44.0
400795766,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Murray State,OVC,52.0,Kentucky Wesleyan,Independent DII,12.0,,,,40.0,64.0
400799035,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Samford,Southern,45.0,Central Arkansas,Southland,16.0,,,,29.0,61.0
400799864,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Campbell,Pioneer,41.0,Pikeville,,20.0,,,,21.0,61.0
400787299,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Ball State,Mid-American,48.0,VMI,Southern,36.0,,,4.7380781049,12.0,84.0
400795765,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Eastern Kentucky,OVC,52.0,Valparaiso,Pioneer,10.0,,,,42.0,62.0
400795494,2015,1,regular,2015-09-03T23:00:00.000Z,False,False,Western Illinois,MVFC,33.0,Eastern Illinois,OVC,5.0,,,,28.0,38.0
400799924,2015,1,regular,2015-09-03T23:00:00.000Z,False,True,Northwestern State,Southland,20.0,SE Louisiana,Southland,34.0,,,,-14.0,54.0
400764854,2015,1,regular,2015-09-03T23:30:00.000Z,False,False,UConn,American Athletic,20.0,Villanova,CAA,15.0,,,6.3109494228,5.0,35.0
400756895,2015,1,regular,2015-09-03T23:30:00.000Z,False,False,Georgia Tech,ACC,69.0,Alcorn State,SWAC,6.0,,,1.04662376849999,63.0,75.0
400795577,2015,1,regular,2015-09-03T23:30:00.000Z,True,False,East Tennessee State,FCS Independents,16.0,Kennesaw State,Big South,56.0,,,,-40.0,72.0
400603839,2015,1,regular,2015-09-04T00:00:00.000Z,False,False,Vanderbilt,SEC,12.0,Western Kentucky,Conference USA,14.0,1365.0,1521.0,5.6575509609,-2.0,26.0
400756883,2015,1,regular,2015-09-04T00:30:00.000Z,False,False,Utah,Pac-12,24.0,Michigan,Big Ten,17.0,1603.0,1553.0,4.6176711164,7.0,41.0
400787302,2015,1,regular,2015-09-04T01:00:00.000Z,False,False,Idaho,Sun Belt,28.0,Ohio,Mid-American,45.0,1167.0,1321.0,4.9746849037,-17.0,73.0
400763398,2015,1,regular,2015-09-04T01:00:00.000Z,False,False,Minnesota,Big Ten,17.0,TCU,Big 12,23.0,1633.0,1963.0,2.7537930284,-6.0,40.0
400787110,2015,1,regular,2015-09-04T01:00:00.000Z,False,False,Utah State,Mountain West,12.0,Southern Utah,Big Sky,9.0,,,8.8452949667,3.0,21.0
400795502,2015,1,regular,2015-09-04T01:05:00.000Z,False,False,Montana State,Big Sky,45.0,Fort Lewis,Rocky Mountain,14.0,,,,31.0,59.0
400756894,2015,1,regular,2015-09-04T01:30:00.000Z,False,False,Tulane,American Athletic,7.0,Duke,ACC,37.0,1311.0,1572.0,2.7582590138,-30.0,44.0
400756882,2015,1,regular,2015-09-04T02:00:00.000Z,False,False,Arizona,Pac-12,42.0,UTSA,Conference USA,32.0,1649.0,1294.0,1.45698808729999,10.0,74.0
400787109,2015,1,regular,2015-09-04T02:00:00.000Z,False,False,San José State,Mountain West,43.0,New Hampshire,CAA,13.0,,,2.0077161215,30.0,56.0
400799923,2015,1,regular,2015-09-04T02:00:00.000Z,False,False,Fresno State,Mountain West,34.0,Abilene Christian,Southland,13.0,,,3.63336776399999,21.0,47.0
400787108,2015,1,regular,2015-09-04T02:00:00.000Z,False,False,Nevada,Mountain West,31.0,UC Davis,Big Sky,17.0,,,2.4004603686,14.0,48.0
400787107,2015,1,regular,2015-09-04T05:00:00.000Z,False,False,Hawai'i,Mountain West,28.0,Colorado,Pac-12,20.0,1347.0,1357.0,,8.0,48.0
400763587,2015,1,regular,2015-09-04T19:30:00.000Z,False,False,Georgia State,Sun Belt,20.0,Charlotte,Conference USA,23.0,1092.0,1500.0,4.9427680109,-3.0,43.0
400764855,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,SMU,American Athletic,21.0,Baylor,Big 12,56.0,1147.0,1874.0,1.80597644569999,-35.0,77.0
400795631,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,Delaware,CAA,14.0,Jacksonville,Pioneer,20.0,,,,-6.0,34.0
400756903,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,Syracuse,ACC,47.0,Rhode Island,CAA,0.0,,,2.0281674299,47.0,47.0
400760491,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,Army,FBS Independents,35.0,Fordham,Patriot,37.0,,,6.95966309979999,-2.0,72.0
400799427,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,Central Connecticut,NEC,14.0,Lehigh,Patriot,20.0,,,,-6.0,34.0
400763470,2015,1,regular,2015-09-04T23:00:00.000Z,False,False,Western Michigan,Mid-American,24.0,Michigan State,Big Ten,37.0,1444.0,1850.0,1.2308073913,-13.0,61.0
400756887,2015,1,regular,2015-09-05T00:00:00.000Z,False,False,Oregon State,Pac-12,26.0,Weber State,Big Sky,7.0,,,4.2286517652,19.0,33.0
400756888,2015,1,regular,2015-09-05T02:26:00.000Z,False,False,Boise State,Mountain West,16.0,Washington,Pac-12,13.0,1716.0,1625.0,5.211559612,3.0,29.0
400799833,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Robert Morris,NEC,24.0,Dayton,Pioneer,27.0,,,,-3.0,51.0
400603831,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Georgia,SEC,51.0,UL Monroe,Sun Belt,14.0,1856.0,1312.0,0.181193705199999,37.0,65.0
400799832,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Duquesne,NEC,47.0,Kentucky Christian,,7.0,,,,40.0,54.0
400799428,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,St. Francis (PA),NEC,48.0,Georgetown,Patriot,20.0,,,,28.0,68.0
400763401,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Kansas,Big 12,38.0,South Dakota State,MVFC,41.0,,,6.7413022896,-3.0,79.0
400603835,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Ole Miss,SEC,76.0,UT Martin,OVC,3.0,,,1.0053332697,73.0,79.0
400756891,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Northwestern,Big Ten,16.0,Stanford,Pac-12,6.0,1482.0,1747.0,6.251687021,10.0,22.0
400764860,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Navy,American Athletic,48.0,Colgate,Patriot,10.0,,,2.0128745899,38.0,58.0
400763496,2015,1,regular,2015-09-05T16:00:00.000Z,True,False,Rutgers,Big Ten,63.0,Norfolk State,MEAC,13.0,,,2.76958499919999,50.0,76.0
400763473,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Iowa,Big Ten,31.0,Illinois State,MVFC,14.0,,,2.3130227547,17.0,45.0
400763494,2015,1,regular,2015-09-05T16:00:00.000Z,False,False,Maryland,Big Ten,50.0,Richmond,CAA,21.0,,,3.66056612949999,29.0,71.0
400756898,2015,1,regular,2015-09-05T16:30:00.000Z,False,False,Clemson,ACC,49.0,Wofford,Southern,10.0,,,1.7580469261,39.0,59.0
400756897,2015,1,regular,2015-09-05T17:00:00.000Z,False,False,Boston College,ACC,24.0,Maine,CAA,3.0,,,4.65380828879999,21.0,27.0
400756902,2015,1,regular,2015-09-05T17:00:00.000Z,False,False,Pittsburgh,ACC,45.0,Youngstown State,MVFC,37.0,,,3.2830088886,8.0,82.0
400795590,2015,1,regular,2015-09-05T17:00:00.000Z,True,False,Monmouth,Big South,19.0,Holy Cross,Patriot,27.0,,,,-8.0,46.0
400835430,2015,1,regular,2015-09-05T18:00:00.000Z,False,False,Illinois,Big Ten,52.0,Kent State,Mid-American,3.0,1406.0,1273.0,1.2777666493,49.0,55.0
400756889,2015,1,regular,2015-09-05T18:00:00.000Z,False,False,Washington State,Pac-12,17.0,Portland State,Big Sky,24.0,,,6.2588713017,-7.0,41.0
400799927,2015,1,regular,2015-09-05T19:00:00.000Z,False,False,Incarnate Word,Southland,18.0,Texas A&M-Kingsville,Lone Star,16.0,,,,2.0,34.0
400799831,2015,1,regular,2015-09-05T19:00:00.000Z,False,False,Bryant,NEC,27.0,American International,Northeast 10,3.0,,,,24.0,30.0
400795495,2015,1,regular,2015-09-05T19:05:00.000Z,False,False,Indiana State,MVFC,52.0,Butler,Pioneer,17.0,,,,35.0,69.0
400763588,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Eastern Michigan,Mid-American,34.0,Old Dominion,Conference USA,38.0,1027.0,1295.0,7.7497659326,-4.0,72.0
400756904,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,UCLA,Pac-12,34.0,Virginia,ACC,16.0,1690.0,1494.0,2.5875267865,18.0,50.0
400603828,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Arkansas,SEC,48.0,UTEP,Conference USA,13.0,1741.0,1359.0,0.142683040099999,35.0,61.0
400763592,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Tulsa,American Athletic,47.0,Florida Atlantic,Conference USA,44.0,1285.0,1311.0,10.3803286388,3.0,91.0
400603829,2015,1,regular,2015-09-05T19:30:00.000Z,True,False,Auburn,SEC,31.0,Louisville,ACC,24.0,1732.0,1682.0,2.8054821473,7.0,55.0
400787304,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Miami (OH),Mid-American,26.0,Presbyterian,Big South,7.0,,,5.0541224538,19.0,33.0
400763406,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Texas Tech,Big 12,59.0,Sam Houston,Southland,45.0,,,4.79691612629999,14.0,104.0
400787111,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Air Force,Mountain West,63.0,Morgan State,MEAC,7.0,,,2.0252589326,56.0,70.0
400763495,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Nebraska,Big Ten,28.0,BYU,FBS Independents,33.0,1673.0,1569.0,7.5396838635,-5.0,61.0
400763497,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Temple,American Athletic,27.0,Penn State,Big Ten,10.0,1489.0,1556.0,4.1035578849,17.0,37.0
400787303,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,Buffalo,Mid-American,51.0,UAlbany,CAA,14.0,,,2.5342659869,37.0,65.0
400787412,2015,1,regular,2015-09-05T19:30:00.000Z,False,False,App State,Sun Belt,49.0,Howard,MEAC,0.0,,,1.72500081359999,49.0,49.0
400795504,2015,1,regular,2015-09-05T19:35:00.000Z,False,False,Northern Colorado,Big Sky,42.0,Western Colorado,Rocky Mountain,34.0,,,,8.0,76.0
400834350,2015,1,regular,2015-09-05T20:00:00.000Z,True,False,Tennessee,SEC,59.0,Bowling Green,Mid-American,30.0,1613.0,1379.0,2.23764243579999,29.0,89.0
