season,team,portal_talent_in,portal_talent_out,portal_net_rating,portal_count_in,portal_count_out,portal_net_count,portal_stars_in_avg,portal_qb_in,portal_qb_out
2021,Abilene Christian,0.0,84.0,-84.0,4.0,2.0,2.0,3.0,0.0,0.0
2021,Air Force,0.0,0.0,0.0,2.0,4.0,-2.0,1.5,0.0,0.0
2021,Akron,0.0,0.0,0.0,3.0,14.0,-11.0,3.0,0.0,1.0
2021,Alabama,186.0,663.0,-477.0,4.0,11.0,-7.0,3.0,0.0,0.0
2021,Alabama A&M,0.0,83.0,-83.0,2.0,1.0,1.0,4.0,0.0,0.0
2021,Alabama State,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Alcorn State,0.0,83.0,-83.0,2.0,1.0,1.0,3.0,0.0,0.0
2021,American International,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Angelo State,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,App State,80.0,0.0,80.0,7.0,4.0,3.0,1.7142857142857142,0.0,1.0
2021,Arizona,649.0,246.0,403.0,16.0,18.0,-2.0,2.75,1.0,1.0
2021,Arizona State,333.0,0.0,333.0,7.0,18.0,-11.0,2.857142857142857,0.0,1.0
2021,Arkansas,247.0,252.0,-5.0,5.0,16.0,-11.0,3.0,1.0,0.0
2021,Arkansas State,161.0,163.0,-2.0,17.0,9.0,8.0,2.8823529411764706,1.0,1.0
2021,Arkansas Tech,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021,Arkansas-Pine Bluff,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021,Army,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0
2021,Auburn,676.0,585.0,91.0,10.0,22.0,-12.0,3.1,1.0,1.0
2021,Austin Peay,0.0,0.0,0.0,3.0,5.0,-2.0,2.6666666666666665,1.0,1.0
2021,Azusa Pacific,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,BYU,90.0,0.0,90.0,5.0,3.0,2.0,3.2,0.0,0.0
2021,Ball State,0.0,0.0,0.0,2.0,9.0,-7.0,3.0,0.0,0.0
2021,Baylor,343.0,166.0,177.0,6.0,8.0,-2.0,2.6666666666666665,0.0,0.0
2021,Bethune-Cookman,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2021,Blinn College,0.0,0.0,0.0,4.0,0.0,4.0,0.75,0.0,0.0
2021,Boise State,0.0,0.0,0.0,6.0,7.0,-1.0,2.1666666666666665,0.0,1.0
2021,Boston College,331.0,166.0,165.0,6.0,15.0,-9.0,3.0,0.0,1.0
2021,Bowie State,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Bowling Green,0.0,0.0,0.0,5.0,14.0,-9.0,1.8,0.0,0.0
2021,Brown,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Bryant,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Bucknell,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Buffalo,0.0,172.0,-172.0,6.0,20.0,-14.0,2.0,1.0,1.0
2021,Butler C.C.,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0
2021,Cal Poly,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1.0
2021,California,86.0,83.0,3.0,3.0,10.0,-7.0,3.0,0.0,1.0
2021,Central Connecticut,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Central Michigan,80.0,83.0,-3.0,3.0,18.0,-15.0,2.6666666666666665,1.0,0.0
2021,Central Missouri,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
