season,team,conference,ret_total_ppa,ret_pass_ppa,ret_rush_ppa,ret_recv_ppa,ret_ppa_pct,ret_pass_ppa_pct,ret_usage,ret_pass_usage
2015,Air Force,Mountain West,201.2,10.7,87.8,102.8,0.615,0.134,0.646,0.162
2015,Akron,Mid-American,69.4,3.0,29.6,36.7,0.479,1.304,0.758,0.997
2015,Alabama,SEC,137.2,21.1,37.6,78.4,0.222,0.101,0.251,0.134
2015,App State,Sun Belt,402.8,118.6,128.0,156.2,0.952,0.994,0.93,0.863
2015,Arizona,Pac-12,399.3,133.5,85.9,179.9,0.883,1.0,0.861,1.0
2015,Arizona State,Pac-12,217.1,48.9,42.5,125.7,0.547,0.408,0.536,0.302
2015,Arkansas,SEC,316.0,95.5,82.6,137.9,0.888,0.965,0.942,0.997
2015,Arkansas State,Sun Belt,375.7,105.8,83.9,186.0,0.989,1.023,0.96,0.983
2015,Army,FBS Independents,46.1,-2.7,20.9,27.8,0.292,0.871,0.278,0.322
2015,Auburn,SEC,87.1,43.2,14.6,29.4,0.202,0.254,0.157,0.119
2015,Ball State,Mid-American,147.1,44.3,-4.7,107.5,0.613,0.43,0.521,0.511
2015,Baylor,Big 12,416.0,68.9,131.5,215.6,0.608,0.314,0.549,0.171
2015,Boise State,Mountain West,198.9,44.5,20.3,134.0,0.355,0.274,0.259,0.095
2015,Boston College,ACC,49.2,-1.2,5.3,45.1,0.183,-0.025,0.483,0.035
2015,Bowling Green,Mid-American,272.6,59.4,51.0,162.3,0.977,0.928,0.839,0.942
2015,Buffalo,Mid-American,373.7,138.1,54.6,181.0,0.946,1.0,0.939,1.0
2015,BYU,FBS Independents,266.7,40.6,79.1,147.0,0.575,0.326,0.53,0.289
2015,California,Pac-12,467.6,185.4,67.9,214.4,0.913,1.002,0.936,0.995
2015,Central Michigan,Mid-American,265.7,148.9,12.0,104.8,0.658,0.983,0.575,0.998
2015,Cincinnati,American Athletic,445.9,164.7,47.6,233.6,0.895,0.854,0.892,0.808
2015,Clemson,ACC,305.4,104.7,5.9,194.8,0.86,0.797,0.632,0.331
2015,Colorado,Pac-12,316.3,131.4,22.9,162.0,0.811,0.985,0.839,0.998
2015,Colorado State,Mountain West,263.9,2.6,22.0,239.3,0.482,0.013,0.414,0.059
2015,Duke,ACC,105.3,12.9,56.3,36.2,0.394,0.218,0.37,0.04
2015,East Carolina,American Athletic,98.0,4.2,32.1,61.7,0.188,0.021,0.246,0.018
2015,Eastern Michigan,Mid-American,64.7,20.0,13.6,31.1,0.78,-3.175,0.49,0.672
2015,Florida,SEC,108.1,34.8,9.0,64.2,0.522,0.634,0.426,0.346
2015,Florida Atlantic,Conference USA,137.3,68.7,22.6,46.0,0.759,1.168,0.641,0.84
2015,Florida International,Conference USA,78.3,10.1,14.7,53.5,0.669,0.99,0.855,0.877
2015,Florida State,ACC,134.2,27.6,20.9,85.8,0.308,0.144,0.372,0.115
2015,Fresno State,Mountain West,110.2,1.2,42.1,66.9,0.377,0.04,0.302,0.081
2015,Georgia,SEC,200.2,32.5,82.3,85.4,0.461,0.23,0.558,0.136
2015,Georgia Southern,Sun Belt,224.3,44.0,162.7,17.5,0.714,1.0,0.79,1.0
2015,Georgia State,Sun Belt,263.0,111.5,-4.4,155.8,0.883,0.988,0.802,0.965
2015,Georgia Tech,ACC,229.9,101.9,106.0,22.0,0.441,0.888,0.413,0.976
2015,Hawai'i,Mountain West,152.0,34.6,19.7,97.7,0.752,0.826,0.778,0.884
2015,Houston,American Athletic,253.4,57.8,104.6,91.0,0.696,0.731,0.642,0.584
2015,Idaho,Sun Belt,105.4,23.5,35.3,46.6,0.383,0.547,0.584,0.85
2015,Illinois,Big Ten,236.5,70.2,-4.5,170.8,0.73,0.768,0.555,0.509
2015,Indiana,Big Ten,59.6,8.5,25.1,26.0,0.271,0.766,0.471,0.997
2015,Iowa,Big Ten,116.9,16.0,2.2,98.7,0.333,0.145,0.356,0.209
2015,Iowa State,Big 12,165.1,27.1,33.8,104.3,0.706,0.732,0.657,0.985
2015,Kansas,Big 12,56.3,38.0,2.2,16.2,0.352,0.844,0.543,0.993
2015,Kansas State,Big 12,68.6,11.8,22.8,34.0,0.13,0.063,0.233,0.04
2015,Kent State,Mid-American,76.0,47.2,-9.2,38.0,0.478,1.019,0.752,0.998
2015,Kentucky,SEC,178.3,41.5,48.3,88.6,0.722,0.933,0.818,0.998
2015,Louisiana,Sun Belt,198.1,28.2,59.7,110.2,0.555,0.459,0.369,0.074
2015,Louisiana Tech,Conference USA,206.5,6.6,21.9,178.0,0.459,0.039,0.519,0.025
2015,Louisville,ACC,227.2,99.6,46.8,80.8,0.596,0.816,0.619,0.965
2015,LSU,SEC,194.1,38.1,59.7,96.3,0.792,0.907,0.77,0.993
2015,Marshall,Conference USA,253.4,17.1,110.0,126.2,0.392,0.091,0.347,0.049
2015,Maryland,Big Ten,55.5,7.5,8.0,40.1,0.297,0.341,0.34,0.107
2015,Massachusetts,Mid-American,327.4,133.8,19.1,174.5,0.848,0.954,0.885,0.998
2015,Memphis,American Athletic,262.3,86.4,38.5,137.3,0.767,0.84,0.769,0.984
2015,Miami,ACC,213.5,97.0,31.0,85.4,0.651,0.853,0.844,0.954
2015,Miami (OH),Mid-American,94.8,-0.8,-12.1,107.6,0.324,-0.01,0.266,0.02
2015,Michigan,Big Ten,89.7,-10.7,38.0,62.5,0.507,-0.695,0.434,0.12
2015,Michigan State,Big Ten,336.2,194.2,26.6,115.5,0.599,0.963,0.576,0.995
2015,Middle Tennessee,Conference USA,243.2,79.4,70.5,93.3,0.739,1.005,0.8,0.997
2015,Minnesota,Big Ten,120.9,39.1,49.8,32.0,0.53,0.706,0.495,0.978
2015,Mississippi State,SEC,368.1,136.9,86.1,145.1,0.742,0.981,0.703,0.998
2015,Missouri,SEC,160.3,61.5,77.2,21.6,0.474,0.836,0.649,0.991
2015,Navy,FBS Independents,230.6,11.3,172.0,47.3,0.707,1.056,0.702,0.993
2015,NC State,ACC,289.4,100.0,101.2,88.2,0.82,1.005,0.804,0.98
2015,Nebraska,Big Ten,230.7,76.2,44.4,110.1,0.644,0.947,0.696,0.989
2015,Nevada,Mountain West,137.7,6.0,19.2,112.5,0.472,0.087,0.442,0.005
2015,New Mexico,Mountain West,190.9,22.3,128.4,40.2,0.809,1.246,0.847,0.925
2015,New Mexico State,Sun Belt,204.2,81.1,20.2,102.9,0.782,1.0,0.836,1.0
2015,North Carolina,ACC,360.1,99.3,88.6,172.2,0.885,0.958,0.95,0.998
2015,Northern Illinois,Mid-American,315.6,113.0,108.6,94.0,0.724,0.898,0.668,0.937
2015,North Texas,Conference USA,111.1,-6.9,26.5,91.5,0.721,-2.464,0.64,0.747
2015,Northwestern,Big Ten,77.7,8.8,4.6,64.3,0.405,0.236,0.442,0.117
2015,Notre Dame,FBS Independents,190.8,18.0,38.6,134.2,0.536,0.138,0.407,0.074
2015,Ohio,Mid-American,184.1,33.5,47.9,102.7,0.794,0.933,0.897,0.997
2015,Ohio State,Big Ten,490.7,104.2,214.7,171.8,0.825,0.781,0.913,0.982
2015,Oklahoma,Big 12,331.5,87.6,118.2,125.6,0.831,0.974,0.866,0.997
2015,Oklahoma State,Big 12,203.3,30.7,11.1,161.5,0.723,0.514,0.443,0.301
2015,Old Dominion,Conference USA,172.1,6.8,43.7,121.6,0.427,0.059,0.341,0.007
2015,Ole Miss,SEC,189.3,11.1,42.2,136.1,0.547,0.112,0.445,0.075
2015,Oregon,Pac-12,353.9,71.5,93.1,189.4,0.478,0.275,0.56,0.086
2015,Oregon State,Pac-12,93.2,6.5,-2.3,88.9,0.431,0.087,0.203,0.002
2015,Penn State,Big Ten,133.1,21.7,8.3,103.1,0.748,0.816,0.789,0.978
2015,Pittsburgh,ACC,289.8,77.1,98.1,114.5,0.842,0.926,0.875,0.948
2015,Purdue,Big Ten,104.8,12.4,19.6,72.9,0.543,0.605,0.449,0.618
2015,Rice,Conference USA,296.0,141.6,39.5,115.0,0.731,0.963,0.899,0.995
2015,Rutgers,Big Ten,162.4,-10.9,27.6,145.7,0.456,-0.097,0.609,0.078
2015,San Diego State,Mountain West,174.9,-10.0,102.5,82.4,0.665,-0.503,0.62,0.121
2015,San José State,Mountain West,247.5,93.2,13.1,141.3,0.804,0.844,0.806,0.764
2015,SMU,American Athletic,60.1,-17.6,33.7,44.0,0.884,0.581,0.753,0.798
2015,South Alabama,Sun Belt,67.9,-12.0,11.2,68.7,0.322,-0.472,0.363,0.264
2015,South Carolina,SEC,157.8,17.1,41.9,98.9,0.349,0.121,0.284,0.043
2015,Southern Miss,Conference USA,168.8,65.1,-3.7,107.5,0.686,0.84,0.816,0.786
2015,South Florida,American Athletic,68.5,2.6,2.2,63.7,0.391,0.053,0.584,0.333
2015,Stanford,Pac-12,289.8,112.2,48.9,128.7,0.84,0.946,0.774,0.94
2015,Syracuse,ACC,101.0,10.5,32.2,58.2,0.678,2.234,0.638,0.941
2015,TCU,Big 12,454.4,134.7,96.1,223.6,0.889,0.933,0.842,0.949
2015,Temple,American Athletic,58.1,-4.2,4.9,57.4,0.488,1.235,0.699,0.948
2015,Tennessee,SEC,206.6,49.1,45.1,112.4,0.91,0.899,0.602,0.393
2015,Texas,Big 12,108.1,53.1,25.6,29.3,0.496,0.851,0.63,0.916
2015,Texas A&M,SEC,263.4,36.0,43.0,184.4,0.57,0.237,0.594,0.379
2015,Texas State,Sun Belt,320.6,99.1,93.9,127.6,0.8,0.962,0.802,0.998
2015,Texas Tech,Big 12,403.8,155.8,53.9,194.0,0.821,0.879,0.877,0.94
2015,Toledo,Mid-American,419.0,147.7,115.8,155.5,0.871,0.971,0.912,0.955
2015,Troy,Sun Belt,192.5,57.8,53.2,81.5,0.792,0.965,0.797,0.995
2015,Tulane,American Athletic,102.2,16.4,20.8,65.1,0.616,1.252,0.781,0.823
2015,Tulsa,American Athletic,244.0,68.5,30.3,145.2,0.964,1.0,0.986,1.0
2015,UAB,Conference USA,0.7,0.0,0.0,0.7,0.003,0.0,0.001,0.0
2015,UCF,American Athletic,139.1,97.9,12.2,29.0,0.429,0.825,0.698,0.984
2015,UCLA,Pac-12,193.8,30.7,52.6,110.5,0.534,0.318,0.516,0.12
2015,UConn,American Athletic,32.8,1.2,-19.1,50.8,0.271,0.083,0.443,0.188
2015,UL Monroe,Sun Belt,88.0,3.6,-14.1,98.5,0.442,0.067,0.297,0.044
2015,UNLV,Mountain West,203.9,61.5,36.9,105.6,0.744,1.875,0.677,0.817
2015,USC,Pac-12,260.9,189.6,0.4,70.9,0.53,0.905,0.567,0.988
2015,Utah,Pac-12,202.4,49.3,65.0,88.1,0.731,0.826,0.873,0.99
2015,Utah State,Mountain West,142.3,14.7,48.7,78.9,0.491,0.229,0.523,0.553
2015,UTEP,Conference USA,71.7,13.5,29.8,28.4,0.34,0.328,0.397,0.017
2015,UTSA,Conference USA,58.8,-11.8,15.3,55.2,0.53,-1.967,0.423,0.536
2015,Vanderbilt,SEC,110.4,25.9,-7.7,92.2,1.013,-129.5,0.767,0.64
2015,Virginia,ACC,147.0,38.6,12.0,96.3,0.5,0.417,0.376,0.376
2015,Virginia Tech,ACC,240.0,66.1,9.1,164.8,0.892,0.89,0.936,0.981
2015,Wake Forest,ACC,10.1,6.9,-48.6,51.8,0.202,4.313,0.744,0.954
2015,Washington,Pac-12,174.8,5.6,37.6,131.6,0.476,0.059,0.463,0.028
2015,Washington State,Pac-12,228.2,76.3,-3.3,155.2,0.416,0.342,0.459,0.323
2015,Western Kentucky,Conference USA,564.9,259.5,66.8,238.6,0.852,1.003,0.882,0.993
2015,Western Michigan,Mid-American,440.3,142.1,94.9,203.3,1.005,1.0,0.929,1.0
2015,West Virginia,Big 12,150.2,21.4,37.5,91.3,0.366,0.155,0.421,0.212
2015,Wisconsin,Big Ten,226.0,51.9,76.7,97.4,0.561,0.904,0.623,0.994
2015,Wyoming,Mountain West,114.5,5.2,16.9,92.4,0.462,0.075,0.493,0.029
2016,Air Force,Mountain West,211.8,27.6,141.6,42.6,0.563,0.347,0.625,0.145
2016,Akron,Mid-American,181.5,66.1,13.7,101.7,0.712,0.978,0.548,0.924
2016,Alabama,SEC,148.2,21.0,-16.1,143.3,0.341,0.15,0.279,0.112
2016,App State,Sun Belt,305.4,125.9,82.9,96.6,0.722,0.898,0.862,0.986
2016,Arizona,Pac-12,261.0,103.6,72.3,85.0,0.532,0.893,0.601,0.805
2016,Arizona State,Pac-12,159.5,3.8,42.9,112.8,0.349,0.027,0.39,0.007
2016,Arkansas,SEC,229.6,24.5,20.4,184.8,0.395,0.117,0.3,0.028
2016,Arkansas State,Sun Belt,119.7,0.0,53.3,66.4,0.369,0.0,0.301,0.0
2016,Army,FBS Independents,189.3,49.0,65.2,75.1,0.872,1.023,0.521,0.664
2016,Auburn,SEC,182.5,103.4,34.7,44.3,0.569,1.0,0.488,1.0
2016,Ball State,Mid-American,152.6,59.8,29.2,63.6,0.954,1.0,0.952,1.0
2016,Baylor,Big 12,388.3,93.1,180.0,115.1,0.576,0.486,0.605,0.555
2016,Boise State,Mountain West,394.1,142.1,59.2,192.9,0.857,0.985,0.771,0.86
2016,Boston College,ACC,95.8,8.8,16.9,70.1,0.921,1.143,0.869,0.996
2016,Bowling Green,Mid-American,142.2,14.3,39.8,88.1,0.386,0.431,0.483,0.677
2016,Buffalo,Mid-American,68.5,0.0,-1.9,70.4,0.217,0.0,0.266,0.0
2016,BYU,FBS Independents,325.7,131.4,59.7,134.5,0.679,0.981,0.748,0.996
2016,California,Pac-12,90.0,18.4,37.2,34.3,0.152,0.078,0.283,0.038
2016,Central Michigan,Mid-American,364.2,158.0,1.3,204.9,0.931,1.01,0.853,0.996
2016,Charlotte,Conference USA,65.3,-41.6,44.0,62.9,0.859,1.0,0.833,1.0
2016,Cincinnati,American Athletic,292.3,157.2,61.3,73.7,0.505,0.86,0.643,0.977
