season,conference,team,offense,defense
2025,Mountain West,Air Force,"{'overall': 0.29, 'passing': 0.55, 'rushing': 0.23, 'firstDown': 0.07, 'secondDown': 0.3, 'thirdDown': 0.61, 'cumulative': {'total': 236.1, 'passing': 93.78, 'rushing': 146.5}}","{'overall': 0.4, 'passing': 0.51, 'rushing': 0.29, 'firstDown': 0.24, 'secondDown': 0.32, 'thirdDown': 0.82, 'cumulative': {'total': 282.8, 'passing': 1776.7, 'rushing': 100.6}}"
2025,Mid-American,Akron,"{'overall': 0.07, 'passing': 0.17, 'rushing': 0.01, 'firstDown': -0.06, 'secondDown': 0.1, 'thirdDown': 0.27, 'cumulative': {'total': 59.5, 'passing': 72.03, 'rushing': 4.8}}","{'overall': 0.15, 'passing': 0.23, 'rushing': 0.1, 'firstDown': -0.02, 'secondDown': 0.27, 'thirdDown': 0.44, 'cumulative': {'total': 115.2, 'passing': 853.8, 'rushing': 40.1}}"
2025,SEC,Alabama,"{'overall': 0.21, 'passing': 0.35, 'rushing': 0.05, 'firstDown': 0.02, 'secondDown': 0.17, 'thirdDown': 0.55, 'cumulative': {'total': 208, 'passing': 191.96, 'rushing': 21.5}}","{'overall': 0.07, 'passing': 0.12, 'rushing': 0.07, 'firstDown': -0.17, 'secondDown': 0.03, 'thirdDown': 0.49, 'cumulative': {'total': 65.6, 'passing': 510.5, 'rushing': 32.6}}"
2025,Sun Belt,App State,"{'overall': 0.1, 'passing': 0.18, 'rushing': 0.07, 'firstDown': -0.06, 'secondDown': 0.16, 'thirdDown': 0.16, 'cumulative': {'total': 90.5, 'passing': 92.94, 'rushing': 27.6}}","{'overall': 0.18, 'passing': 0.3, 'rushing': 0.09, 'firstDown': 0.02, 'secondDown': 0.18, 'thirdDown': 0.57, 'cumulative': {'total': 170.9, 'passing': 1449.6, 'rushing': 40.9}}"
2025,Big 12,Arizona,"{'overall': 0.17, 'passing': 0.2, 'rushing': 0.14, 'firstDown': -0.03, 'secondDown': 0.2, 'thirdDown': 0.51, 'cumulative': {'total': 151.1, 'passing': 95.69, 'rushing': 60.3}}","{'overall': 0.07, 'passing': 0.12, 'rushing': 0.1, 'firstDown': -0.15, 'secondDown': 0.09, 'thirdDown': 0.32, 'cumulative': {'total': 60.4, 'passing': 456.2, 'rushing': 45.3}}"
2025,Big 12,Arizona State,"{'overall': 0.13, 'passing': 0.22, 'rushing': 0.12, 'firstDown': -0.07, 'secondDown': 0.16, 'thirdDown': 0.46, 'cumulative': {'total': 124.8, 'passing': 99.74, 'rushing': 56.8}}","{'overall': 0.1, 'passing': 0.16, 'rushing': 0.04, 'firstDown': -0.03, 'secondDown': 0.1, 'thirdDown': 0.41, 'cumulative': {'total': 93.8, 'passing': 791.5, 'rushing': 15.9}}"
2025,SEC,Arkansas,"{'overall': 0.3, 'passing': 0.37, 'rushing': 0.28, 'firstDown': 0.15, 'secondDown': 0.33, 'thirdDown': 0.69, 'cumulative': {'total': 238.4, 'passing': 149.08, 'rushing': 106}}","{'overall': 0.25, 'passing': 0.43, 'rushing': 0.17, 'firstDown': 0.08, 'secondDown': 0.32, 'thirdDown': 0.55, 'cumulative': {'total': 203.1, 'passing': 1533.9, 'rushing': 74.9}}"
2025,Sun Belt,Arkansas State,"{'overall': 0.09, 'passing': 0.23, 'rushing': -0.04, 'firstDown': -0.07, 'secondDown': 0.05, 'thirdDown': 0.49, 'cumulative': {'total': 88.5, 'passing': 124.48, 'rushing': -15.2}}","{'overall': 0.19, 'passing': 0.31, 'rushing': 0.12, 'firstDown': 0.03, 'secondDown': 0.18, 'thirdDown': 0.57, 'cumulative': {'total': 174.9, 'passing': 1321.9, 'rushing': 55.6}}"
2025,American Athletic,Army,"{'overall': 0.19, 'passing': 0.46, 'rushing': 0.14, 'firstDown': -0.06, 'secondDown': 0.19, 'thirdDown': 0.36, 'cumulative': {'total': 161, 'passing': 58.33, 'rushing': 104.9}}","{'overall': 0.18, 'passing': 0.3, 'rushing': 0.09, 'firstDown': 0.07, 'secondDown': 0.08, 'thirdDown': 0.45, 'cumulative': {'total': 139.3, 'passing': 1080.4, 'rushing': 39.8}}"
2025,SEC,Auburn,"{'overall': 0.17, 'passing': 0.14, 'rushing': 0.24, 'firstDown': 0.07, 'secondDown': 0.11, 'thirdDown': 0.43, 'cumulative': {'total': 142.8, 'passing': 55.28, 'rushing': 99.7}}","{'overall': 0.06, 'passing': 0.26, 'rushing': -0.11, 'firstDown': -0.14, 'secondDown': 0.08, 'thirdDown': 0.36, 'cumulative': {'total': 48.4, 'passing': 1069, 'rushing': -43.9}}"
2025,Mid-American,Ball State,"{'overall': 0, 'passing': -0.03, 'rushing': 0.03, 'firstDown': -0.18, 'secondDown': -0.01, 'thirdDown': 0.29, 'cumulative': {'total': -1, 'passing': -9.22, 'rushing': 12.7}}","{'overall': 0.18, 'passing': 0.32, 'rushing': 0.14, 'firstDown': 0.01, 'secondDown': 0.16, 'thirdDown': 0.57, 'cumulative': {'total': 146.9, 'passing': 1159.7, 'rushing': 61.4}}"
2025,Big 12,Baylor,"{'overall': 0.19, 'passing': 0.25, 'rushing': 0.16, 'firstDown': 0.06, 'secondDown': 0.22, 'thirdDown': 0.41, 'cumulative': {'total': 177.8, 'passing': 130.71, 'rushing': 60.4}}","{'overall': 0.17, 'passing': 0.25, 'rushing': 0.14, 'firstDown': 0.02, 'secondDown': 0.17, 'thirdDown': 0.48, 'cumulative': {'total': 142.5, 'passing': 852.4, 'rushing': 63.4}}"
2025,Mountain West,Boise State,"{'overall': 0.17, 'passing': 0.25, 'rushing': 0.13, 'firstDown': -0.03, 'secondDown': 0.14, 'thirdDown': 0.68, 'cumulative': {'total': 180.3, 'passing': 123.57, 'rushing': 67.2}}","{'overall': 0.1, 'passing': 0.03, 'rushing': 0.2, 'firstDown': -0.04, 'secondDown': 0.18, 'thirdDown': 0.34, 'cumulative': {'total': 87.5, 'passing': 136.3, 'rushing': 89.7}}"
2025,ACC,Boston College,"{'overall': 0.16, 'passing': 0.25, 'rushing': 0.05, 'firstDown': 0.08, 'secondDown': 0.08, 'thirdDown': 0.47, 'cumulative': {'total': 136.5, 'passing': 123.56, 'rushing': 16.4}}","{'overall': 0.23, 'passing': 0.36, 'rushing': 0.14, 'firstDown': 0.06, 'secondDown': 0.28, 'thirdDown': 0.51, 'cumulative': {'total': 192.1, 'passing': 1397.9, 'rushing': 60.2}}"
2025,Mid-American,Bowling Green,"{'overall': 0.03, 'passing': 0.05, 'rushing': 0.05, 'firstDown': -0.17, 'secondDown': 0.01, 'thirdDown': 0.43, 'cumulative': {'total': 20.6, 'passing': 14.91, 'rushing': 20.1}}","{'overall': 0.15, 'passing': 0.27, 'rushing': 0.06, 'firstDown': 0.02, 'secondDown': 0.14, 'thirdDown': 0.44, 'cumulative': {'total': 107.2, 'passing': 895.8, 'rushing': 22.1}}"
2025,Mid-American,Buffalo,"{'overall': 0.08, 'passing': 0.17, 'rushing': 0.01, 'firstDown': -0.04, 'secondDown': 0.11, 'thirdDown': 0.33, 'cumulative': {'total': 67.6, 'passing': 73.84, 'rushing': 2.1}}","{'overall': 0.11, 'passing': 0.2, 'rushing': 0.05, 'firstDown': -0.05, 'secondDown': 0.1, 'thirdDown': 0.35, 'cumulative': {'total': 90, 'passing': 755.2, 'rushing': 21.5}}"
2025,Big 12,BYU,"{'overall': 0.22, 'passing': 0.29, 'rushing': 0.2, 'firstDown': 0.11, 'secondDown': 0.15, 'thirdDown': 0.57, 'cumulative': {'total': 209.6, 'passing': 120.15, 'rushing': 103.5}}","{'overall': 0.06, 'passing': 0.13, 'rushing': 0.05, 'firstDown': -0.01, 'secondDown': 0.06, 'thirdDown': 0.32, 'cumulative': {'total': 58.2, 'passing': 619.2, 'rushing': 20.2}}"
2025,ACC,California,"{'overall': 0.12, 'passing': 0.23, 'rushing': -0.04, 'firstDown': -0.11, 'secondDown': 0.23, 'thirdDown': 0.51, 'cumulative': {'total': 114.9, 'passing': 127.57, 'rushing': -13.6}}","{'overall': 0.16, 'passing': 0.14, 'rushing': 0.19, 'firstDown': 0.02, 'secondDown': 0.1, 'thirdDown': 0.47, 'cumulative': {'total': 141.4, 'passing': 629.5, 'rushing': 79.3}}"
2025,Mid-American,Central Michigan,"{'overall': 0.14, 'passing': 0.4, 'rushing': 0.02, 'firstDown': -0.03, 'secondDown': 0.2, 'thirdDown': 0.4, 'cumulative': {'total': 110.3, 'passing': 108.66, 'rushing': 11.5}}","{'overall': 0.08, 'passing': 0.13, 'rushing': 0.07, 'firstDown': -0.07, 'secondDown': 0.08, 'thirdDown': 0.48, 'cumulative': {'total': 72.7, 'passing': 541.4, 'rushing': 30.3}}"
2025,American Athletic,Charlotte,"{'overall': -0.01, 'passing': 0.12, 'rushing': -0.11, 'firstDown': -0.2, 'secondDown': -0.09, 'thirdDown': 0.43, 'cumulative': {'total': -5.2, 'passing': 48.29, 'rushing': -37.2}}","{'overall': 0.23, 'passing': 0.31, 'rushing': 0.19, 'firstDown': 0.14, 'secondDown': 0.19, 'thirdDown': 0.52, 'cumulative': {'total': 196.5, 'passing': 1227.6, 'rushing': 85.3}}"
2025,Big 12,Cincinnati,"{'overall': 0.3, 'passing': 0.43, 'rushing': 0.23, 'firstDown': 0.17, 'secondDown': 0.27, 'thirdDown': 0.58, 'cumulative': {'total': 234.1, 'passing': 159.56, 'rushing': 92.2}}","{'overall': 0.19, 'passing': 0.25, 'rushing': 0.14, 'firstDown': 0.05, 'secondDown': 0.15, 'thirdDown': 0.48, 'cumulative': {'total': 176.3, 'passing': 1019.9, 'rushing': 74.3}}"
2025,ACC,Clemson,"{'overall': 0.18, 'passing': 0.25, 'rushing': 0.1, 'firstDown': 0.09, 'secondDown': 0.14, 'thirdDown': 0.37, 'cumulative': {'total': 158.9, 'passing': 122.83, 'rushing': 39.4}}","{'overall': 0.09, 'passing': 0.17, 'rushing': 0.04, 'firstDown': 0, 'secondDown': 0.08, 'thirdDown': 0.39, 'cumulative': {'total': 82.7, 'passing': 842.8, 'rushing': 12.7}}"
2025,Sun Belt,Coastal Carolina,"{'overall': 0.06, 'passing': 0.11, 'rushing': 0.04, 'firstDown': -0.11, 'secondDown': 0.13, 'thirdDown': 0.27, 'cumulative': {'total': 54.1, 'passing': 42.95, 'rushing': 19.1}}","{'overall': 0.2, 'passing': 0.29, 'rushing': 0.19, 'firstDown': 0.08, 'secondDown': 0.27, 'thirdDown': 0.47, 'cumulative': {'total': 192.7, 'passing': 1214.2, 'rushing': 98.1}}"
2025,Big 12,Colorado,"{'overall': 0.08, 'passing': 0.16, 'rushing': 0.04, 'firstDown': -0.17, 'secondDown': 0.14, 'thirdDown': 0.51, 'cumulative': {'total': 66.8, 'passing': 60.93, 'rushing': 14.8}}","{'overall': 0.19, 'passing': 0.33, 'rushing': 0.13, 'firstDown': 0.08, 'secondDown': 0.18, 'thirdDown': 0.37, 'cumulative': {'total': 158.4, 'passing': 1068.6, 'rushing': 65.5}}"
