year,team,conference,fpi,resumeRanks,efficiencies
2023,Notre Dame,FBS Independents,20.776,"{'strengthOfRecord': 17, 'fpi': 10, 'averageWinProbability': 14, 'strengthOfSchedule': 48, 'remainingStrengthOfSchedule': None, 'gameControl': 11}","{'overall': 83.947, 'offense': 78.304, 'defense': 77.941, 'specialTeams': 57.082}"
2023,Georgia,SEC,24.777,"{'strengthOfRecord': 7, 'fpi': 6, 'averageWinProbability': 5, 'strengthOfSchedule': 37, 'remainingStrengthOfSchedule': None, 'gameControl': 6}","{'overall': 87.417, 'offense': 88.149, 'defense': 74.455, 'specialTeams': 48.128}"
2023,Florida,SEC,6.342,"{'strengthOfRecord': 49, 'fpi': 38, 'averageWinProbability': 73, 'strengthOfSchedule': 4, 'remainingStrengthOfSchedule': None, 'gameControl': 35}","{'overall': 58.854, 'offense': 67.064, 'defense': 43.082, 'specialTeams': 57.213}"
2023,Tennessee,SEC,14.091,"{'strengthOfRecord': 23, 'fpi': 17, 'averageWinProbability': 30, 'strengthOfSchedule': 16, 'remainingStrengthOfSchedule': None, 'gameControl': 19}","{'overall': 72.034, 'offense': 66.494, 'defense': 68.45, 'specialTeams': 54.522}"
2023,South Carolina,SEC,6.054,"{'strengthOfRecord': 56, 'fpi': 42, 'averageWinProbability': 81, 'strengthOfSchedule': 14, 'remainingStrengthOfSchedule': None, 'gameControl': 51}","{'overall': 55.105, 'offense': 53.866, 'defense': 54.724, 'specialTeams': 48.937}"
2023,Kentucky,SEC,7.33,"{'strengthOfRecord': 35, 'fpi': 34, 'averageWinProbability': 52, 'strengthOfSchedule': 24, 'remainingStrengthOfSchedule': None, 'gameControl': 38}","{'overall': 63.962, 'offense': 60.477, 'defense': 61.626, 'specialTeams': 52.112}"
2023,Vanderbilt,SEC,-9.102,"{'strengthOfRecord': 110, 'fpi': 103, 'averageWinProbability': 133, 'strengthOfSchedule': 42, 'remainingStrengthOfSchedule': None, 'gameControl': 104}","{'overall': 27.425, 'offense': 23.613, 'defense': 36.78, 'specialTeams': 56.766}"
2023,Massachusetts,FBS Independents,-17.844,"{'strengthOfRecord': 121, 'fpi': 127, 'averageWinProbability': 129, 'strengthOfSchedule': 63, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 17.585, 'offense': 28.703, 'defense': 20.969, 'specialTeams': 33.697}"
2023,Oklahoma State,Big 12,6.132,"{'strengthOfRecord': 20, 'fpi': 40, 'averageWinProbability': 84, 'strengthOfSchedule': 26, 'remainingStrengthOfSchedule': None, 'gameControl': 55}","{'overall': 58.317, 'offense': 55.031, 'defense': 57.772, 'specialTeams': 52.598}"
2023,Kansas State,Big 12,18.789,"{'strengthOfRecord': 26, 'fpi': 12, 'averageWinProbability': 24, 'strengthOfSchedule': 39, 'remainingStrengthOfSchedule': None, 'gameControl': 17}","{'overall': 79.849, 'offense': 77.7, 'defense': 71.656, 'specialTeams': 49.809}"
2023,Baylor,Big 12,-4.924,"{'strengthOfRecord': 101, 'fpi': 84, 'averageWinProbability': 125, 'strengthOfSchedule': 44, 'remainingStrengthOfSchedule': None, 'gameControl': 100}","{'overall': 30.445, 'offense': 31.671, 'defense': 31.437, 'specialTeams': 67.489}"
2023,Iowa State,Big 12,8.877,"{'strengthOfRecord': 34, 'fpi': 31, 'averageWinProbability': 59, 'strengthOfSchedule': 27, 'remainingStrengthOfSchedule': None, 'gameControl': 34}","{'overall': 69.507, 'offense': 61.932, 'defense': 67.525, 'specialTeams': 57.506}"
2023,Texas Tech,Big 12,6.237,"{'strengthOfRecord': 45, 'fpi': 39, 'averageWinProbability': 67, 'strengthOfSchedule': 23, 'remainingStrengthOfSchedule': None, 'gameControl': 36}","{'overall': 62.556, 'offense': 51.102, 'defense': 66.311, 'specialTeams': 59.243}"
2023,Kansas,Big 12,9.088,"{'strengthOfRecord': 28, 'fpi': 29, 'averageWinProbability': 29, 'strengthOfSchedule': 36, 'remainingStrengthOfSchedule': None, 'gameControl': 21}","{'overall': 72.867, 'offense': 82.476, 'defense': 54.769, 'specialTeams': 44.984}"
2023,TCU,Big 12,9.511,"{'strengthOfRecord': 62, 'fpi': 28, 'averageWinProbability': 72, 'strengthOfSchedule': 17, 'remainingStrengthOfSchedule': None, 'gameControl': 45}","{'overall': 59.244, 'offense': 64.411, 'defense': 51.426, 'specialTeams': 45.245}"
2023,West Virginia,Big 12,5.931,"{'strengthOfRecord': 29, 'fpi': 44, 'averageWinProbability': 48, 'strengthOfSchedule': 19, 'remainingStrengthOfSchedule': None, 'gameControl': 32}","{'overall': 65.187, 'offense': 69.634, 'defense': 53.567, 'specialTeams': 52.242}"
2023,Auburn,SEC,8.916,"{'strengthOfRecord': 43, 'fpi': 30, 'averageWinProbability': 46, 'strengthOfSchedule': 12, 'remainingStrengthOfSchedule': None, 'gameControl': 26}","{'overall': 67.536, 'offense': 49.076, 'defense': 72.965, 'specialTeams': 65.063}"
2023,LSU,SEC,20.874,"{'strengthOfRecord': 13, 'fpi': 9, 'averageWinProbability': 21, 'strengthOfSchedule': 10, 'remainingStrengthOfSchedule': None, 'gameControl': 12}","{'overall': 81.345, 'offense': 97.503, 'defense': 37.119, 'specialTeams': 37.895}"
2023,Miami (OH),Mid-American,-1.253,"{'strengthOfRecord': 32, 'fpi': 71, 'averageWinProbability': 26, 'strengthOfSchedule': 114, 'remainingStrengthOfSchedule': None, 'gameControl': 58}","{'overall': 60.548, 'offense': 38.799, 'defense': 64.079, 'specialTeams': 78.975}"
2023,Ohio,Mid-American,-5.037,"{'strengthOfRecord': 55, 'fpi': 85, 'averageWinProbability': 31, 'strengthOfSchedule': 130, 'remainingStrengthOfSchedule': None, 'gameControl': 75}","{'overall': 45.821, 'offense': 39.866, 'defense': 60.378, 'specialTeams': 34.44}"
2023,Kent State,Mid-American,-23.961,"{'strengthOfRecord': 133, 'fpi': 133, 'averageWinProbability': 132, 'strengthOfSchedule': 113, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 12.521, 'offense': 17.517, 'defense': 19.421, 'specialTeams': 41.182}"
2023,Akron,Mid-American,-20.022,"{'strengthOfRecord': 132, 'fpi': 131, 'averageWinProbability': 119, 'strengthOfSchedule': 124, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 17.977, 'offense': 14.662, 'defense': 36.378, 'specialTeams': 38.555}"
2023,Toledo,Mid-American,0.536,"{'strengthOfRecord': 38, 'fpi': 62, 'averageWinProbability': 28, 'strengthOfSchedule': 128, 'remainingStrengthOfSchedule': None, 'gameControl': 68}","{'overall': 55.948, 'offense': 55.53, 'defense': 55.571, 'specialTeams': 45.716}"
2023,South Florida,American Athletic,-9.854,"{'strengthOfRecord': 94, 'fpi': 106, 'averageWinProbability': 83, 'strengthOfSchedule': 94, 'remainingStrengthOfSchedule': None, 'gameControl': 102}","{'overall': 35.234, 'offense': 42.693, 'defense': 30.969, 'specialTeams': 57.955}"
2023,East Carolina,American Athletic,-7.708,"{'strengthOfRecord': 128, 'fpi': 98, 'averageWinProbability': 102, 'strengthOfSchedule': 61, 'remainingStrengthOfSchedule': None, 'gameControl': 108}","{'overall': 30.552, 'offense': 12.83, 'defense': 52.867, 'specialTeams': 70.418}"
2023,Tulsa,American Athletic,-13.345,"{'strengthOfRecord': 106, 'fpi': 115, 'averageWinProbability': 116, 'strengthOfSchedule': 58, 'remainingStrengthOfSchedule': None, 'gameControl': 107}","{'overall': 28.132, 'offense': 33.196, 'defense': 29.562, 'specialTeams': 54.125}"
2023,Temple,American Athletic,-19.353,"{'strengthOfRecord': 124, 'fpi': 129, 'averageWinProbability': 127, 'strengthOfSchedule': 109, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 17.077, 'offense': 30.798, 'defense': 16.718, 'specialTeams': 42.309}"
2023,Memphis,American Athletic,2.782,"{'strengthOfRecord': 41, 'fpi': 53, 'averageWinProbability': 35, 'strengthOfSchedule': 101, 'remainingStrengthOfSchedule': None, 'gameControl': 57}","{'overall': 55.25, 'offense': 65.81, 'defense': 40.394, 'specialTeams': 55.356}"
2023,Navy,American Athletic,-12.092,"{'strengthOfRecord': 98, 'fpi': 113, 'averageWinProbability': 82, 'strengthOfSchedule': 86, 'remainingStrengthOfSchedule': 3, 'gameControl': 95}","{'overall': 26.773, 'offense': 12.575, 'defense': 53.474, 'specialTeams': 53.359}"
2023,Tulane,American Athletic,3.05,"{'strengthOfRecord': 25, 'fpi': 51, 'averageWinProbability': 12, 'strengthOfSchedule': 98, 'remainingStrengthOfSchedule': None, 'gameControl': 29}","{'overall': 60.759, 'offense': 46.835, 'defense': 66.943, 'specialTeams': 59.144}"
2023,Western Kentucky,Conference USA,-5.151,"{'strengthOfRecord': 78, 'fpi': 87, 'averageWinProbability': 37, 'strengthOfSchedule': 75, 'remainingStrengthOfSchedule': None, 'gameControl': 61}","{'overall': 45.111, 'offense': 48.444, 'defense': 47.364, 'specialTeams': 38.375}"
2023,UTEP,Conference USA,-14.68,"{'strengthOfRecord': 125, 'fpi': 121, 'averageWinProbability': 123, 'strengthOfSchedule': 112, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 24.801, 'offense': 33.134, 'defense': 26.992, 'specialTeams': 44.393}"
2023,Louisiana Tech,Conference USA,-15.166,"{'strengthOfRecord': 126, 'fpi': 125, 'averageWinProbability': 126, 'strengthOfSchedule': 100, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 20.4, 'offense': 29.363, 'defense': 19.857, 'specialTeams': 56.051}"
2023,Florida International,Conference USA,-21.253,"{'strengthOfRecord': 122, 'fpi': 132, 'averageWinProbability': 121, 'strengthOfSchedule': 129, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 16.573, 'offense': 14.308, 'defense': 28.354, 'specialTeams': 51.052}"
2023,Middle Tennessee,Conference USA,-10.135,"{'strengthOfRecord': 116, 'fpi': 107, 'averageWinProbability': 76, 'strengthOfSchedule': 64, 'remainingStrengthOfSchedule': None, 'gameControl': 90}","{'overall': 34.526, 'offense': 31.876, 'defense': 45.006, 'specialTeams': 43.431}"
2023,Oregon State,Pac-12,13.996,"{'strengthOfRecord': 31, 'fpi': 18, 'averageWinProbability': 23, 'strengthOfSchedule': 45, 'remainingStrengthOfSchedule': None, 'gameControl': 18}","{'overall': 79.392, 'offense': 79.074, 'defense': 67.781, 'specialTeams': 54.727}"
2023,Washington State,Pac-12,3.221,"{'strengthOfRecord': 73, 'fpi': 50, 'averageWinProbability': 62, 'strengthOfSchedule': 41, 'remainingStrengthOfSchedule': None, 'gameControl': 43}","{'overall': 62.169, 'offense': 54.667, 'defense': 62.054, 'specialTeams': 59.872}"
2023,James Madison,Sun Belt,6.522,"{'strengthOfRecord': 18, 'fpi': 37, 'averageWinProbability': 7, 'strengthOfSchedule': 119, 'remainingStrengthOfSchedule': None, 'gameControl': 25}","{'overall': 67.614, 'offense': 53.436, 'defense': 70.687, 'specialTeams': 63.946}"
2023,Marshall,Sun Belt,-5.714,"{'strengthOfRecord': 83, 'fpi': 92, 'averageWinProbability': 98, 'strengthOfSchedule': 107, 'remainingStrengthOfSchedule': None, 'gameControl': 105}","{'overall': 38.251, 'offense': 30.019, 'defense': 54.825, 'specialTeams': 40.227}"
2023,USC,Pac-12,13.091,"{'strengthOfRecord': 36, 'fpi': 21, 'averageWinProbability': 63, 'strengthOfSchedule': 18, 'remainingStrengthOfSchedule': None, 'gameControl': 42}","{'overall': 69.753, 'offense': 82.697, 'defense': 42.068, 'specialTeams': 66.367}"
2023,UCLA,Pac-12,7.056,"{'strengthOfRecord': 50, 'fpi': 35, 'averageWinProbability': 56, 'strengthOfSchedule': 66, 'remainingStrengthOfSchedule': None, 'gameControl': 48}","{'overall': 61.585, 'offense': 41.29, 'defense': 82.53, 'specialTeams': 24.638}"
2023,California,Pac-12,4.077,"{'strengthOfRecord': 47, 'fpi': 48, 'averageWinProbability': 68, 'strengthOfSchedule': 25, 'remainingStrengthOfSchedule': None, 'gameControl': 41}","{'overall': 55.737, 'offense': 47.929, 'defense': 63.028, 'specialTeams': 43.913}"
2023,Stanford,Pac-12,-9.769,"{'strengthOfRecord': 89, 'fpi': 105, 'averageWinProbability': 128, 'strengthOfSchedule': 28, 'remainingStrengthOfSchedule': None, 'gameControl': 93}","{'overall': 32.24, 'offense': 38.784, 'defense': 28.157, 'specialTeams': 64.11}"
2023,Arizona,Pac-12,11.44,"{'strengthOfRecord': 24, 'fpi': 22, 'averageWinProbability': 32, 'strengthOfSchedule': 72, 'remainingStrengthOfSchedule': None, 'gameControl': 28}","{'overall': 73.172, 'offense': 77.614, 'defense': 56.651, 'specialTeams': 58.122}"
2023,Arizona State,Pac-12,-7.512,"{'strengthOfRecord': 95, 'fpi': 95, 'averageWinProbability': 111, 'strengthOfSchedule': 43, 'remainingStrengthOfSchedule': None, 'gameControl': 83}","{'overall': 34.901, 'offense': 34.21, 'defense': 47.91, 'specialTeams': 30.309}"
2023,SMU,American Athletic,13.838,"{'strengthOfRecord': 19, 'fpi': 20, 'averageWinProbability': 11, 'strengthOfSchedule': 76, 'remainingStrengthOfSchedule': None, 'gameControl': 23}","{'overall': 78.195, 'offense': 68.424, 'defense': 76.715, 'specialTeams': 57.256}"
2023,Texas State,Sun Belt,-8.459,"{'strengthOfRecord': 79, 'fpi': 99, 'averageWinProbability': 43, 'strengthOfSchedule': 125, 'remainingStrengthOfSchedule': None, 'gameControl': 80}","{'overall': 41.136, 'offense': 53.018, 'defense': 32.252, 'specialTeams': 53.191}"
2023,Georgia Southern,Sun Belt,-7.579,"{'strengthOfRecord': 97, 'fpi': 96, 'averageWinProbability': 61, 'strengthOfSchedule': 116, 'remainingStrengthOfSchedule': None, 'gameControl': 87}","{'overall': 41.274, 'offense': 45.945, 'defense': 38.258, 'specialTeams': 53.617}"
2023,Old Dominion,Sun Belt,-9.52,"{'strengthOfRecord': 87, 'fpi': 104, 'averageWinProbability': 91, 'strengthOfSchedule': 108, 'remainingStrengthOfSchedule': None, 'gameControl': 103}","{'overall': 34.487, 'offense': 23.436, 'defense': 52.859, 'specialTeams': 45.655}"
2023,Coastal Carolina,Sun Belt,-2.807,"{'strengthOfRecord': 76, 'fpi': 79, 'averageWinProbability': 71, 'strengthOfSchedule': 117, 'remainingStrengthOfSchedule': 1, 'gameControl': 94}","{'overall': 46.536, 'offense': 57.765, 'defense': 44.091, 'specialTeams': 26.426}"
2023,App State,Sun Belt,-0.603,"{'strengthOfRecord': 67, 'fpi': 68, 'averageWinProbability': 60, 'strengthOfSchedule': 99, 'remainingStrengthOfSchedule': None, 'gameControl': 73}","{'overall': 53.058, 'offense': 62.461, 'defense': 40.946, 'specialTeams': 53.498}"
2023,Georgia State,Sun Belt,-8.616,"{'strengthOfRecord': 86, 'fpi': 100, 'averageWinProbability': 65, 'strengthOfSchedule': 89, 'remainingStrengthOfSchedule': None, 'gameControl': 76}","{'overall': 40.191, 'offense': 48.127, 'defense': 34.152, 'specialTeams': 58.17}"
2023,South Alabama,Sun Belt,0.785,"{'strengthOfRecord': 91, 'fpi': 59, 'averageWinProbability': 64, 'strengthOfSchedule': 103, 'remainingStrengthOfSchedule': None, 'gameControl': 77}","{'overall': 47.699, 'offense': 50.405, 'defense': 46.153, 'specialTeams': 48.561}"
2023,Louisiana,Sun Belt,-5.369,"{'strengthOfRecord': 102, 'fpi': 89, 'averageWinProbability': 55, 'strengthOfSchedule': 123, 'remainingStrengthOfSchedule': None, 'gameControl': 92}","{'overall': 44.581, 'offense': 53.233, 'defense': 37.14, 'specialTeams': 55.141}"
2023,Arkansas State,Sun Belt,-8.951,"{'strengthOfRecord': 90, 'fpi': 101, 'averageWinProbability': 85, 'strengthOfSchedule': 83, 'remainingStrengthOfSchedule': None, 'gameControl': 99}","{'overall': 35.621, 'offense': 40.146, 'defense': 33.984, 'specialTeams': 57.719}"
2023,UL Monroe,Sun Belt,-19.6,"{'strengthOfRecord': 130, 'fpi': 130, 'averageWinProbability': 130, 'strengthOfSchedule': 84, 'remainingStrengthOfSchedule': None, 'gameControl': 122}","{'overall': 21.574, 'offense': 15.452, 'defense': 37.275, 'specialTeams': 51.618}"
2023,Southern Miss,Sun Belt,-14.169,"{'strengthOfRecord': 119, 'fpi': 119, 'averageWinProbability': 112, 'strengthOfSchedule': 87, 'remainingStrengthOfSchedule': None, 'gameControl': 112}","{'overall': 26.935, 'offense': 32.097, 'defense': 33.556, 'specialTeams': 37.572}"
2023,Troy,Sun Belt,5.742,"{'strengthOfRecord': 30, 'fpi': 45, 'averageWinProbability': 19, 'strengthOfSchedule': 95, 'remainingStrengthOfSchedule': None, 'gameControl': 47}","{'overall': 65.342, 'offense': 50.585, 'defense': 73.525, 'specialTeams': 51.212}"
2023,Alabama,SEC,24.925,"{'strengthOfRecord': 4, 'fpi': 5, 'averageWinProbability': 16, 'strengthOfSchedule': 5, 'remainingStrengthOfSchedule': None, 'gameControl': 7}","{'overall': 84.968, 'offense': 76.211, 'defense': 80.844, 'specialTeams': 61.941}"
2023,Ole Miss,SEC,15.302,"{'strengthOfRecord': 8, 'fpi': 15, 'averageWinProbability': 25, 'strengthOfSchedule': 6, 'remainingStrengthOfSchedule': None, 'gameControl': 16}","{'overall': 75.391, 'offense': 76.693, 'defense': 64.536, 'specialTeams': 49.591}"
2023,Mississippi State,SEC,0.859,"{'strengthOfRecord': 58, 'fpi': 58, 'averageWinProbability': 94, 'strengthOfSchedule': 31, 'remainingStrengthOfSchedule': None, 'gameControl': 63}","{'overall': 45.573, 'offense': 31.326, 'defense': 62.302, 'specialTeams': 47.192}"
2023,Arkansas,SEC,2.225,"{'strengthOfRecord': 81, 'fpi': 56, 'averageWinProbability': 90, 'strengthOfSchedule': 8, 'remainingStrengthOfSchedule': None, 'gameControl': 60}","{'overall': 47.846, 'offense': 34.458, 'defense': 61.741, 'specialTeams': 53.372}"
2023,Western Michigan,Mid-American,-13.543,"{'strengthOfRecord': 113, 'fpi': 116, 'averageWinProbability': 106, 'strengthOfSchedule': 111, 'remainingStrengthOfSchedule': None, 'gameControl': 113}","{'overall': 27.906, 'offense': 39.386, 'defense': 26.072, 'specialTeams': 43.04}"
2023,Ball State,Mid-American,-11.731,"{'strengthOfRecord': 118, 'fpi': 111, 'averageWinProbability': 110, 'strengthOfSchedule': 80, 'remainingStrengthOfSchedule': None, 'gameControl': 119}","{'overall': 27.865, 'offense': 24.814, 'defense': 43.874, 'specialTeams': 37.749}"
2023,Eastern Michigan,Mid-American,-14.689,"{'strengthOfRecord': 108, 'fpi': 122, 'averageWinProbability': 75, 'strengthOfSchedule': 132, 'remainingStrengthOfSchedule': None, 'gameControl': 115}","{'overall': 25.912, 'offense': 23.951, 'defense': 31.987, 'specialTeams': 65.656}"
2023,Central Michigan,Mid-American,-13.01,"{'strengthOfRecord': 104, 'fpi': 114, 'averageWinProbability': 113, 'strengthOfSchedule': 91, 'remainingStrengthOfSchedule': None, 'gameControl': 120}","{'overall': 26.496, 'offense': 36.193, 'defense': 25.262, 'specialTeams': 50.309}"
2023,Northern Illinois,Mid-American,-7.254,"{'strengthOfRecord': 105, 'fpi': 94, 'averageWinProbability': 79, 'strengthOfSchedule': 131, 'remainingStrengthOfSchedule': None, 'gameControl': 117}","{'overall': 36.439, 'offense': 35.852, 'defense': 43.598, 'specialTeams': 45.528}"
2023,UConn,FBS Independents,-15.874,"{'strengthOfRecord': 123, 'fpi': 126, 'averageWinProbability': 109, 'strengthOfSchedule': 93, 'remainingStrengthOfSchedule': None, 'gameControl': 111}","{'overall': 25.161, 'offense': 23.464, 'defense': 35.941, 'specialTeams': 48.435}"
2023,Oregon,Pac-12,25.043,"{'strengthOfRecord': 10, 'fpi': 4, 'averageWinProbability': 4, 'strengthOfSchedule': 52, 'remainingStrengthOfSchedule': None, 'gameControl': 5}","{'overall': 90.094, 'offense': 93.321, 'defense': 73.578, 'specialTeams': 35.343}"
