season,team,conference,fpi,resumeranks,efficiencies
2026,UAB,American Athletic,-14.476,"{'strengthOfRecord': 27, 'fpi': 127, 'averageWinProbability': 35, 'strengthOfSchedule': 102, 'remainingStrengthOfSchedule': 116, 'gameControl': 29}","{'overall': 36.179, 'offense': 56.132, 'defense': 10.145, 'specialTeams': 61.301}"
2026,South Alabama,Sun Belt,-10.531,"{'strengthOfRecord': 0, 'fpi': 111, 'averageWinProbability': 0, 'strengthOfSchedule': 111, 'remainingStrengthOfSchedule': 108, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Arkansas,SEC,4.396,"{'strengthOfRecord': 0, 'fpi': 48, 'averageWinProbability': 0, 'strengthOfSchedule': 1, 'remainingStrengthOfSchedule': 2, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Arizona State,Big 12,4.76,"{'strengthOfRecord': 0, 'fpi': 46, 'averageWinProbability': 0, 'strengthOfSchedule': 29, 'remainingStrengthOfSchedule': 31, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Arizona,Big 12,7.155,"{'strengthOfRecord': 0, 'fpi': 34, 'averageWinProbability': 0, 'strengthOfSchedule': 57, 'remainingStrengthOfSchedule': 58, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,San Diego State,Pac-12,1.426,"{'strengthOfRecord': 0, 'fpi': 58, 'averageWinProbability': 0, 'strengthOfSchedule': 107, 'remainingStrengthOfSchedule': 105, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,California,ACC,0.884,"{'strengthOfRecord': 0, 'fpi': 62, 'averageWinProbability': 0, 'strengthOfSchedule': 62, 'remainingStrengthOfSchedule': 64, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Colorado,Big 12,4.957,"{'strengthOfRecord': 1, 'fpi': 42, 'averageWinProbability': 28, 'strengthOfSchedule': 49, 'remainingStrengthOfSchedule': 51, 'gameControl': 18}","{'overall': 63.813, 'offense': 62.024, 'defense': 78.907, 'specialTeams': 15.178}"
2026,Delaware,Conference USA,-4.536,"{'strengthOfRecord': 22, 'fpi': 84, 'averageWinProbability': 11, 'strengthOfSchedule': 94, 'remainingStrengthOfSchedule': 87, 'gameControl': 17}","{'overall': 58.233, 'offense': 65.073, 'defense': 54.544, 'specialTeams': 36.422}"
2026,Jacksonville State,Conference USA,-14.095,"{'strengthOfRecord': 27, 'fpi': 126, 'averageWinProbability': 33, 'strengthOfSchedule': 132, 'remainingStrengthOfSchedule': 134, 'gameControl': 35}","{'overall': 19.75, 'offense': 11.753, 'defense': 45.201, 'specialTeams': 27.145}"
2026,South Florida,American Athletic,-0.949,"{'strengthOfRecord': 0, 'fpi': 71, 'averageWinProbability': 0, 'strengthOfSchedule': 124, 'remainingStrengthOfSchedule': 121, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Georgia Tech,ACC,3.507,"{'strengthOfRecord': 27, 'fpi': 54, 'averageWinProbability': 20, 'strengthOfSchedule': 34, 'remainingStrengthOfSchedule': 33, 'gameControl': 15}","{'overall': 66.558, 'offense': 44.44, 'defense': 63.362, 'specialTeams': 85.236}"
2026,Georgia,SEC,24.837,"{'strengthOfRecord': 0, 'fpi': 5, 'averageWinProbability': 0, 'strengthOfSchedule': 20, 'remainingStrengthOfSchedule': 22, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Boise State,Pac-12,4.045,"{'strengthOfRecord': 0, 'fpi': 50, 'averageWinProbability': 0, 'strengthOfSchedule': 73, 'remainingStrengthOfSchedule': 72, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Iowa State,Big 12,-0.943,"{'strengthOfRecord': 0, 'fpi': 70, 'averageWinProbability': 0, 'strengthOfSchedule': 56, 'remainingStrengthOfSchedule': 57, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
