season,team,havoc_total,havoc_front_seven,havoc_db,rush_success_rate,pass_success_rate
2023,Air Force,0.158,0.105,0.054,0.4648318042813456,0.27485380116959063
2023,Akron,0.144,0.096,0.048,0.41472868217054265,0.24444444444444444
2023,Alabama,0.185,0.116,0.068,0.4594017094017094,0.328125
2023,App State,0.18,0.109,0.072,0.4230769230769231,0.3684210526315789
2023,Arizona,0.18,0.112,0.068,0.5236686390532544,0.40789473684210525
2023,Arizona State,0.164,0.103,0.062,0.4414715719063545,0.25311203319502074
2023,Arkansas,0.181,0.114,0.066,0.42819148936170215,0.2708333333333333
2023,Arkansas State,0.158,0.107,0.051,0.4297520661157025,0.3056768558951965
2023,Army,0.127,0.09,0.037,0.4092664092664093,0.23
2023,Auburn,0.181,0.112,0.07,0.45323741007194246,0.2489451476793249
2023,Ball State,0.164,0.11,0.054,0.44587628865979384,0.24434389140271492
2023,Baylor,0.166,0.106,0.06,0.4,0.26640926640926643
2023,Boise State,0.171,0.11,0.061,0.5173824130879345,0.3401639344262295
2023,Boston College,0.129,0.08,0.049,0.461839530332681,0.2845528455284553
2023,Bowling Green,0.178,0.103,0.075,0.45288753799392095,0.3142857142857143
2023,Buffalo,0.17,0.117,0.053,0.4339152119700748,0.2674897119341564
2023,BYU,0.146,0.077,0.069,0.3720136518771331,0.23043478260869565
2023,California,0.159,0.091,0.068,0.44366197183098594,0.27007299270072993
2023,Central Michigan,0.147,0.089,0.059,0.4348894348894349,0.2846153846153846
2023,Charlotte,0.147,0.092,0.056,0.36341463414634145,0.21691176470588236
2023,Cincinnati,0.186,0.118,0.069,0.4572072072072072,0.33472803347280333
2023,Clemson,0.235,0.136,0.099,0.4758771929824561,0.2857142857142857
2023,Coastal Carolina,0.159,0.086,0.073,0.4025,0.3436293436293436
2023,Colorado,0.155,0.098,0.056,0.36220472440944884,0.344
2023,Colorado State,0.16,0.118,0.042,0.3862928348909657,0.2894736842105263
2023,Delaware,0.051,0.021,0.03,0.46953405017921146,0.281437125748503
2023,Duke,0.176,0.101,0.076,0.4244791666666667,0.3125
2023,East Carolina,0.197,0.133,0.064,0.35240963855421686,0.22140221402214022
2023,Eastern Michigan,0.157,0.096,0.061,0.38935574229691877,0.2139917695473251
2023,Florida,0.159,0.102,0.057,0.4305555555555556,0.29508196721311475
2023,Florida Atlantic,0.15,0.107,0.043,0.42905405405405406,0.23504273504273504
2023,Florida International,0.127,0.1,0.028,0.40716612377850164,0.24279835390946503
2023,Florida State,0.218,0.125,0.093,0.3903061224489796,0.31203007518796994
2023,Fresno State,0.158,0.092,0.066,0.4006734006734007,0.38
2023,Georgia,0.171,0.097,0.073,0.5113350125944585,0.44554455445544555
2023,Georgia Southern,0.221,0.135,0.085,0.4738562091503268,0.33976833976833976
2023,Georgia State,0.152,0.105,0.047,0.39955357142857145,0.3333333333333333
2023,Georgia Tech,0.154,0.082,0.072,0.4817351598173516,0.32510288065843623
2023,Hawai'i,0.163,0.099,0.064,0.4007936507936508,0.3132530120481928
2023,Houston,0.128,0.085,0.043,0.39285714285714285,0.2540983606557377
2023,Illinois,0.152,0.09,0.063,0.44668587896253603,0.3333333333333333
2023,Indiana,0.166,0.105,0.062,0.3854748603351955,0.2764976958525346
2023,Iowa,0.157,0.094,0.063,0.3310502283105023,0.21132075471698114
2023,Iowa State,0.165,0.079,0.086,0.3256484149855908,0.2846441947565543
2023,Jacksonville State,0.176,0.115,0.062,0.4565972222222222,0.3006993006993007
2023,James Madison,0.243,0.156,0.087,0.40105540897097625,0.3276595744680851
2023,Kansas,0.166,0.091,0.076,0.47161572052401746,0.3541666666666667
2023,Kansas State,0.18,0.111,0.069,0.5021459227467812,0.34765625
2023,Kennesaw State,0.177,0.152,0.025,0.4797047970479705,0.208955223880597
2023,Kent State,0.128,0.072,0.056,0.31547619047619047,0.25
2023,Kentucky,0.162,0.11,0.052,0.40955631399317405,0.28448275862068967
2023,Liberty,0.188,0.099,0.089,0.5517241379310345,0.3842364532019704
2023,Louisiana,0.155,0.095,0.06,0.4552058111380145,0.27310924369747897
2023,Louisiana Tech,0.153,0.095,0.058,0.43243243243243246,0.25213675213675213
2023,Louisville,0.177,0.109,0.068,0.5127020785219399,0.3584905660377358
2023,LSU,0.159,0.098,0.061,0.5718562874251497,0.44571428571428573
2023,Marshall,0.181,0.109,0.073,0.37438423645320196,0.25886524822695034
2023,Maryland,0.156,0.086,0.07,0.43034055727554177,0.34959349593495936
2023,Massachusetts,0.149,0.094,0.056,0.44648318042813456,0.3251231527093596
2023,Memphis,0.173,0.102,0.071,0.4709141274238227,0.3905579399141631
2023,Miami,0.177,0.122,0.056,0.4296875,0.3155737704918033
2023,Miami (OH),0.174,0.099,0.075,0.35648148148148145,0.2441860465116279
2023,Michigan,0.215,0.132,0.083,0.4482758620689655,0.3470319634703196
2023,Michigan State,0.161,0.099,0.062,0.37809187279151946,0.2557077625570776
2023,Middle Tennessee,0.169,0.099,0.07,0.40853658536585363,0.25757575757575757
2023,Minnesota,0.138,0.081,0.056,0.44298245614035087,0.2687224669603524
2023,Mississippi State,0.156,0.107,0.05,0.37790697674418605,0.2631578947368421
2023,Missouri,0.201,0.136,0.065,0.4469026548672566,0.36046511627906974
2023,Missouri State,0.06,0.025,0.035,0.40239043824701193,0.37073170731707317
2023,Navy,0.177,0.117,0.06,0.39323467230443976,0.21052631578947367
2023,NC State,0.187,0.113,0.074,0.40654205607476634,0.28102189781021897
2023,Nebraska,0.194,0.119,0.076,0.41217798594847777,0.24782608695652175
2023,Nevada,0.141,0.088,0.054,0.39402173913043476,0.2663755458515284
2023,New Mexico,0.149,0.085,0.064,0.5169491525423728,0.33771929824561403
2023,New Mexico State,0.155,0.099,0.057,0.5132924335378323,0.33725490196078434
2023,North Carolina,0.156,0.098,0.058,0.5024154589371981,0.3283582089552239
2023,North Dakota State,,,,0.4829787234042553,0.38073394495412843
2023,Northern Illinois,0.139,0.088,0.051,0.4489311163895487,0.2581967213114754
2023,North Texas,0.112,0.065,0.046,0.4585492227979275,0.3462897526501767
2023,Northwestern,0.162,0.104,0.058,0.3937007874015748,0.28832116788321166
2023,Notre Dame,0.202,0.123,0.08,0.5111111111111111,0.36507936507936506
2023,Ohio,0.204,0.15,0.054,0.4405594405594406,0.345679012345679
2023,Ohio State,0.164,0.098,0.066,0.4514285714285714,0.34328358208955223
2023,Oklahoma,0.194,0.121,0.073,0.47836538461538464,0.3765182186234818
2023,Oklahoma State,0.157,0.11,0.047,0.41854636591478694,0.3423728813559322
2023,Old Dominion,0.165,0.104,0.061,0.41116751269035534,0.3057553956834532
2023,Ole Miss,0.175,0.108,0.068,0.4570815450643777,0.3308270676691729
2023,Oregon,0.172,0.093,0.079,0.5740740740740741,0.43956043956043955
2023,Oregon State,0.189,0.113,0.076,0.5226666666666666,0.37339055793991416
2023,Penn State,0.225,0.171,0.054,0.4975369458128079,0.3574660633484163
2023,Pittsburgh,0.177,0.12,0.056,0.41118421052631576,0.24324324324324326
2023,Purdue,0.17,0.109,0.06,0.44525547445255476,0.29838709677419356
2023,Rice,0.145,0.09,0.055,0.43288590604026844,0.3203463203463203
2023,Rutgers,0.15,0.085,0.065,0.4322033898305085,0.33047210300429186
2023,Sacramento State,0.057,0.022,0.035,0.4784688995215311,0.3038461538461538
2023,Sam Houston,0.137,0.081,0.056,0.34513274336283184,0.23595505617977527
2023,San Diego State,0.156,0.081,0.075,0.4306569343065693,0.27155172413793105
2023,San José State,0.15,0.09,0.06,0.4809384164222874,0.3811659192825112
2023,SMU,0.206,0.128,0.078,0.4677804295942721,0.3333333333333333
2023,South Alabama,0.178,0.123,0.055,0.42337662337662335,0.38661710037174724
2023,South Carolina,0.159,0.082,0.076,0.37987012987012986,0.3010752688172043
2023,Southern Miss,0.159,0.096,0.062,0.4,0.2819548872180451
2023,South Florida,0.188,0.122,0.065,0.3962655601659751,0.27522935779816515
2023,Stanford,0.111,0.073,0.038,0.42333333333333334,0.2979591836734694
2023,Syracuse,0.165,0.111,0.054,0.4116222760290557,0.2798165137614679
2023,TCU,0.128,0.082,0.046,0.4892966360856269,0.41735537190082644
2023,Temple,0.126,0.096,0.03,0.3931034482758621,0.3481781376518219
2023,Tennessee,0.184,0.126,0.057,0.46798029556650245,0.3206751054852321
2023,Texas,0.18,0.108,0.072,0.4392523364485981,0.33955223880597013
2023,Texas A&M,0.226,0.15,0.076,0.44221105527638194,0.3333333333333333
2023,Texas State,0.194,0.147,0.047,0.46651785714285715,0.36727272727272725
2023,Texas Tech,0.15,0.089,0.061,0.4742990654205608,0.2737226277372263
2023,Toledo,0.185,0.106,0.08,0.4620253164556962,0.31970260223048325
2023,Troy,0.194,0.138,0.057,0.42045454545454547,0.2953020134228188
2023,Tulane,0.186,0.112,0.074,0.3995943204868154,0.28793774319066145
2023,Tulsa,0.144,0.097,0.047,0.40380047505938244,0.32388663967611336
2023,UAB,0.156,0.086,0.07,0.5067750677506775,0.3333333333333333
2023,UCF,0.119,0.073,0.046,0.4720930232558139,0.37280701754385964
2023,UCLA,0.207,0.142,0.065,0.4426229508196721,0.3246268656716418
2023,UConn,0.156,0.108,0.048,0.4339080459770115,0.28205128205128205
2023,UL Monroe,0.151,0.106,0.046,0.4,0.20600858369098712
2023,UNLV,0.133,0.089,0.044,0.4034334763948498,0.3345323741007194
2023,USC,0.15,0.107,0.042,0.48355263157894735,0.375
2023,Utah,0.18,0.117,0.063,0.4205020920502092,0.27615062761506276
2023,Utah State,0.173,0.107,0.066,0.4552238805970149,0.3271375464684015
2023,UTEP,0.152,0.087,0.065,0.43686868686868685,0.29338842975206614
2023,UTSA,0.203,0.124,0.079,0.4139433551198257,0.34494773519163763
2023,Vanderbilt,0.148,0.093,0.054,0.3710247349823322,0.25101214574898784
2023,Virginia,0.149,0.085,0.064,0.41823056300268097,0.2926829268292683
2023,Virginia Tech,0.18,0.129,0.051,0.4662004662004662,0.3008130081300813
2023,Wake Forest,0.15,0.103,0.047,0.41708542713567837,0.2875536480686695
2023,Washington,0.158,0.077,0.081,0.5217391304347826,0.379746835443038
2023,Washington State,0.15,0.094,0.055,0.47126436781609193,0.33613445378151263
2023,Western Kentucky,0.143,0.085,0.058,0.38699690402476783,0.3118279569892473
2023,Western Michigan,0.174,0.097,0.077,0.41445783132530123,0.24680851063829787
2023,West Virginia,0.187,0.112,0.074,0.4656188605108055,0.3463035019455253
2023,Wisconsin,0.166,0.103,0.063,0.4988399071925754,0.32967032967032966
2023,Wyoming,0.146,0.076,0.07,0.43828715365239296,0.3157894736842105
