game_id,season,week,home_team,away_team,provider,spread,formatted_spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401856779,2026,1,Iowa State,Southeast Missouri State,DraftKings,-29.5,Iowa State -29.5,-29.5,53.5,53.5,-20000.0,3500.0
401858208,2026,1,Syracuse,New Hampshire,DraftKings,-33.5,Syracuse -33.5,-32.5,55.5,55.5,-100000.0,5000.0
401856666,2026,1,Tennessee,Furman,DraftKings,-46.5,Tennessee -46.5,-46.5,66.5,66.5,,
401856635,2026,1,Arkansas,North Alabama,DraftKings,-40.5,Arkansas -40.5,-40.5,63.5,63.5,,
401862698,2026,1,Temple,Rhode Island,DraftKings,-9.5,Temple -9.5,-10.0,51.5,51.5,-470.0,360.0
401856767,2026,1,UCF,Bethune-Cookman,DraftKings,-42.5,UCF -42.5,-41.5,59.5,,,
401862701,2026,1,Army,Bryant,DraftKings,-36.5,Army -36.5,-36.5,51.5,,,
401856658,2026,1,Georgia,Tennessee State,DraftKings,-46.5,Georgia -46.5,-46.5,56.5,56.5,,
401866410,2026,1,Bowling Green,Tarleton State,DraftKings,-2.5,Bowling Green -2.5,-2.5,48.5,47.5,-135.0,114.0
401861962,2026,1,UConn,Lafayette,DraftKings,-19.5,UConn -19.5,-19.5,57.5,58.5,-1350.0,800.0
401864496,2026,1,Air Force,Duquesne,DraftKings,-28.5,Air Force -28.5,-30.5,58.5,58.5,-50000.0,4000.0
401856659,2026,1,Kentucky,Youngstown State,DraftKings,-23.5,Kentucky -23.5,-23.5,62.5,62.5,-3600.0,1500.0
401856777,2026,1,Cincinnati,Boston College,DraftKings,-7.5,Cincinnati -7.5,-9.5,49.5,,-298.0,240.0
401856777,2026,1,Cincinnati,Boston College,Bovada,-7.0,Cincinnati -7.0,-9.5,49.5,54.5,-270.0,220.0
401869960,2026,1,James Madison,Liberty,DraftKings,-6.5,James Madison -6.5,-6.0,50.5,,-258.0,210.0
401869960,2026,1,James Madison,Liberty,Bovada,-6.5,James Madison -6.5,-6.0,50.5,50.5,-250.0,210.0
401858422,2026,1,Minnesota,Eastern Illinois,DraftKings,-42.5,Minnesota -42.5,-43.5,51.5,,,
401858435,2026,1,Purdue,Indiana State,DraftKings,-35.5,Purdue -35.5,-34.5,56.5,56.5,,
401864425,2026,1,Kennesaw State,West Georgia,DraftKings,-23.5,Kennesaw State -23.5,-22.5,51.5,51.5,-4000.0,1600.0
401856769,2026,1,Kansas,Long Island University,DraftKings,-40.5,Kansas -40.5,-38.5,53.5,53.5,,
401862696,2026,1,Navy,Towson,DraftKings,-30.5,Navy -30.5,-30.5,52.5,53.5,-50000.0,4000.0
401864424,2026,1,Delaware,Merrimack,DraftKings,-28.5,Delaware -28.5,-28.5,55.5,55.5,-20000.0,3500.0
401862694,2026,1,Charlotte,The Citadel,DraftKings,-20.5,Charlotte -20.5,-15.5,46.5,46.5,-1800.0,1000.0
401866409,2026,1,Buffalo,UAlbany,DraftKings,-24.5,Buffalo -24.5,-24.5,48.5,48.5,-6500.0,2000.0
401866623,2026,1,Georgia State,North Carolina A&T,DraftKings,-28.5,Georgia State -28.5,-28.5,63.5,63.5,-6500.0,2000.0
401856663,2026,1,Missouri,Arkansas-Pine Bluff,DraftKings,-54.5,Missouri -54.5,-54.5,60.5,60.5,,
401862700,2026,1,UTSA,UT Rio Grande Valley,DraftKings,-28.5,UTSA -28.5,-28.5,59.5,59.5,-9000.0,2500.0
401864499,2026,1,North Dakota State,Fordham,DraftKings,-39.5,North Dakota State -39.5,-39.5,57.5,57.5,,
401866627,2026,1,App State,Maine,DraftKings,-18.5,App State -18.5,-17.5,53.5,53.5,-1050.0,675.0
401856770,2026,1,Texas Tech,Abilene Christian,DraftKings,-42.5,Texas Tech -42.5,-42.5,59.5,59.5,,
401856771,2026,1,Kansas State,Nicholls,DraftKings,-40.5,Kansas State -40.5,-40.5,55.5,55.5,,
401858427,2026,1,Maryland,Hampton,DraftKings,-45.5,Maryland -45.5,-45.5,56.5,56.5,,
401856811,2026,3,Texas Tech,Houston,DraftKings,-13.5,Texas Tech -13.5,-13.5,,,,
401856685,2026,3,Alabama,Florida State,DraftKings,-15.5,Alabama -15.5,-15.5,52.5,52.5,-600.0,440.0
401860879,2026,1,San Diego State,Portland State,DraftKings,-40.5,San Diego State -40.5,-38.5,62.5,57.5,,
401862697,2026,1,Rice,Houston Christian,DraftKings,-22.5,Rice -22.5,-24.5,47.5,47.5,-2100.0,1100.0
401866411,2026,1,Sacramento State,Mississippi Valley State,DraftKings,-37.5,Sacramento State -37.5,-35.5,56.5,56.5,,
401856775,2026,1,BYU,Utah Tech,DraftKings,-51.5,BYU -51.5,-47.5,60.5,54.5,,
401867973,2026,1,Old Dominion,Norfolk State,DraftKings,-41.5,Old Dominion -41.5,-41.5,52.5,55.5,,
401868140,2026,1,Jacksonville State,Eastern Kentucky,DraftKings,-20.5,Jacksonville State -20.5,-19.5,54.5,52.5,-2100.0,1100.0
401856773,2026,1,Arizona,Northern Arizona,DraftKings,-31.5,Arizona -31.5,-31.5,58.5,56.5,-8000.0,2200.0
401856669,2026,1,Vanderbilt,Austin Peay,DraftKings,-30.5,Vanderbilt -30.5,-30.5,60.5,61.5,-4500.0,1700.0
401856774,2026,1,Arizona State,Morgan State,DraftKings,-43.5,Arizona State -43.5,-41.5,52.5,52.5,,
401856702,2026,4,LSU,Texas A&M,DraftKings,-3.0,LSU -3,-3.0,57.5,57.5,-155.0,130.0
401856678,2026,2,Kansas,Missouri,DraftKings,7.0,Missouri -7,7.0,53.5,52.5,195.0,-238.0
401867866,2026,1,Middle Tennessee,Murray State,DraftKings,-20.5,Middle Tennessee -20.5,-20.5,59.5,59.5,-2100.0,1100.0
401856688,2026,3,Ole Miss,LSU,DraftKings,-1.5,Ole Miss -1.5,-1.5,57.5,57.5,-130.0,110.0
401856782,2026,2,Oklahoma State,Oregon,DraftKings,18.5,Oregon -18.5,18.5,60.5,60.5,750.0,-1200.0
401869129,2026,1,Louisiana Tech,Northwestern State,DraftKings,-44.5,Louisiana Tech -44.5,-41.5,55.5,52.5,,
401858469,2026,4,USC,Oregon,DraftKings,5.5,Oregon -5.5,5.5,58.5,58.5,195.0,-238.0
401856682,2026,2,Texas,Ohio State,DraftKings,-1.5,Texas -1.5,-1.5,47.5,,-118.0,-102.0
401856682,2026,2,Texas,Ohio State,Bovada,-1.5,Texas -1.5,-2.5,47.5,47.5,-120.0,100.0
401856700,2026,4,Georgia,Oklahoma,DraftKings,-10.0,Georgia -10,-10.0,52.5,52.5,-410.0,320.0
401856788,2026,2,Iowa,Iowa State,DraftKings,-11.5,Iowa -11.5,-11.5,41.5,41.5,-800.0,550.0
401868316,2026,1,South Alabama,SE Louisiana,DraftKings,-12.5,South Alabama -12.5,-12.5,52.5,52.5,-600.0,440.0
401856683,2026,2,Texas A&M,Arizona State,DraftKings,-14.5,Texas A&M -14.5,-14.5,51.5,51.5,-550.0,410.0
401856679,2026,2,Michigan,Oklahoma,DraftKings,-1.5,Michigan -1.5,-1.5,46.5,46.5,-112.0,-108.0
401856679,2026,2,Michigan,Oklahoma,Bovada,-2.5,Michigan -2.5,-1.5,45.5,45.5,-145.0,125.0
401856670,2026,2,Utah,Arkansas,DraftKings,-9.5,Utah -9.5,-9.5,54.5,54.5,-380.0,300.0
401868170,2026,1,Georgia Southern,Charleston Southern,DraftKings,-25.5,Georgia Southern -25.5,-25.5,51.5,51.5,-4500.0,1700.0
401858230,2026,3,Louisville,SMU,DraftKings,-1.5,Louisville -1.5,-1.5,56.5,56.5,-115.0,-105.0
401860880,2026,1,Utah State,Idaho State,DraftKings,-12.5,Utah State -12.5,-11.5,62.5,64.5,-575.0,425.0
401856687,2026,3,Auburn,Florida,DraftKings,1.5,Florida -1.5,-1.5,53.5,53.5,-108.0,-112.0
401869142,2026,1,Louisiana,Lamar,DraftKings,-20.5,Louisiana -20.5,-18.5,48.5,48.5,-1200.0,750.0
401858431,2026,1,Northwestern,South Dakota State,DraftKings,-12.5,Northwestern -12.5,-12.5,46.5,46.5,-625.0,455.0
401858211,2026,1,Virginia Tech,VMI,DraftKings,-56.5,Virginia Tech -56.5,-50.5,62.5,57.5,,
401868356,2026,1,Southern Miss,Alcorn State,DraftKings,-21.5,Southern Miss -21.5,-21.0,50.5,50.5,-1350.0,800.0
401867894,2026,1,Youngstown State,Mercyhurst,Draft Kings,-30.5,Youngstown State -30.5,,57.5,,,
401858423,2026,1,Rutgers,Massachusetts,Bovada,-29.0,Rutgers -29.0,-30.5,51.5,54.5,,
401858423,2026,1,Rutgers,Massachusetts,DraftKings,-28.5,Rutgers -28.5,-30.5,51.5,,-8000.0,2200.0
401870790,2026,1,New Mexico State,Mercyhurst,DraftKings,-28.5,New Mexico State -28.5,-24.5,51.5,50.5,-50000.0,4000.0
401856768,2026,1,Utah,Idaho,DraftKings,-35.5,Utah -35.5,-32.5,57.5,56.5,-100000.0,5000.0
401856704,2026,4,Tennessee,Texas,DraftKings,6.5,Texas -6.5,6.5,56.5,56.5,215.0,-265.0
401858249,2026,5,Clemson,Miami,DraftKings,7.0,Miami -7,7.0,55.5,55.5,260.0,-325.0
401858523,2026,11,Oregon,Michigan,DraftKings,-13.5,Oregon -13.5,-13.5,53.5,53.5,-535.0,400.0
401856764,2026,13,Clemson,South Carolina,DraftKings,-3.0,Clemson -3,-3.0,53.5,53.5,-148.0,124.0
401858313,2026,13,North Carolina,NC State,DraftKings,1.5,NC State -1.5,1.5,55.5,55.5,-102.0,-118.0
401858317,2026,13,Virginia Tech,Virginia,DraftKings,-1.5,Virginia Tech -1.5,-1.5,53.5,53.5,-125.0,105.0
401858537,2026,13,Northwestern,Illinois,DraftKings,3.5,Illinois -3.5,3.5,52.5,52.5,142.0,-170.0
401858540,2026,13,Ohio State,Michigan,DraftKings,-13.5,Ohio State -13.5,-13.5,46.5,46.5,-575.0,425.0
401856873,2026,13,Arizona,Arizona State,DraftKings,-4.5,Arizona -4.5,-4.5,52.5,52.5,-205.0,170.0
401868129,2026,1,Northern Colorado,Weber State,DraftKings,-3.0,Northern Colorado -3,-3.5,50.5,49.5,-161.0,129.0
401868129,2026,1,Northern Colorado,Weber State,Draft Kings,-3.0,Northern Colorado -3,,50.5,,,
401862844,2026,15,Army,Navy,DraftKings,2.5,Navy -2.5,2.5,37.5,37.5,124.0,-148.0
401866617,2026,1,Merrimack,Rhode Island,DraftKings,20.5,Rhode Island -20.5,20.5,47.5,53.5,890.0,-1960.0
401866617,2026,1,Merrimack,Rhode Island,Draft Kings,21.0,Rhode Island -21,,47.5,,,
401868324,2026,1,Alabama State,Southern,DraftKings,-19.5,Alabama State -19.5,-19.5,56.5,56.5,-1760.0,830.0
401868324,2026,1,Alabama State,Southern,Draft Kings,19.5,Southern -19.5,,56.5,,,
401866616,2026,1,UAlbany,New Hampshire,DraftKings,10.0,New Hampshire -10,11.5,46.5,45.5,268.0,-357.0
401866616,2026,1,UAlbany,New Hampshire,Draft Kings,10.0,New Hampshire -10,,46.5,,,
401858485,2026,6,Penn State,USC,DraftKings,-1.5,Penn State -1.5,-1.5,56.5,56.5,-125.0,105.0
401856885,2026,11,LSU,Texas,DraftKings,2.5,Texas -2.5,2.5,54.5,54.5,120.0,-142.0
401858518,2026,11,Indiana,USC,DraftKings,-10.0,Indiana -10,-10.0,58.5,58.5,-455.0,350.0
401868040,2026,1,Villanova,William & Mary,DraftKings,-12.5,Villanova -12.5,-11.5,47.5,50.5,-700.0,462.0
401868040,2026,1,Villanova,William & Mary,Draft Kings,-12.5,Villanova -12.5,,47.5,,,
401867882,2026,1,South Dakota,Central Connecticut,DraftKings,-21.5,South Dakota -21.5,-22.5,49.5,53.5,-3900.0,1180.0
401867882,2026,1,South Dakota,Central Connecticut,Draft Kings,-20.5,South Dakota -20.5,,49.5,,,
401867916,2026,1,Wagner,Robert Morris,DraftKings,-5.5,Wagner -5.5,-5.5,40.5,39.5,-223.0,176.0
401867916,2026,1,Wagner,Robert Morris,Draft Kings,-5.5,Wagner -5.5,,40.5,,,
401856712,2026,6,Alabama,Georgia,DraftKings,3.0,Georgia -3,3.0,50.5,50.5,136.0,-162.0
401858436,2026,1,USC,Fresno State,DraftKings,-22.5,USC -22.5,-23.5,51.5,,-2800.0,1300.0
401858436,2026,1,USC,Fresno State,Bovada,-21.5,USC -21.5,-23.0,52.0,51.5,-3500.0,1100.0
