game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401532570,2023,1,Air Force,Mountain West,Robert Morris,0.56,2.15,0.48,-0.06,0.18,-0.3
401531387,2023,1,Akron,Mid-American,Temple,0.1,0.24,0.0,0.14,0.34,-0.22
401520149,2023,1,Alabama,SEC,Middle Tennessee,0.49,0.53,0.47,0.09,0.1,0.18
401531835,2023,1,App State,Sun Belt,Gardner-Webb,0.38,0.69,0.2,0.16,0.29,0.07
401523989,2023,1,Arizona,Pac-12,Northern Arizona,0.25,0.6,0.07,-0.31,0.3,-0.52
401523987,2023,1,Arizona State,Pac-12,Southern Utah,0.16,0.43,0.13,0.01,0.29,-0.12
401520150,2023,1,Arkansas,SEC,Western Carolina,0.56,0.89,0.32,-0.03,-0.09,0.08
401525822,2023,1,Arkansas State,Sun Belt,Oklahoma,-0.1,0.11,-0.35,0.56,0.83,0.38
401520175,2023,1,Army,FBS Independents,UL Monroe,0.03,0.75,-0.06,-0.05,-0.44,0.35
401520151,2023,1,Auburn,SEC,Massachusetts,0.43,0.29,0.5,-0.02,-0.2,0.2
401520159,2023,1,Ball State,Mid-American,Kentucky,0.0,0.44,-0.34,0.28,0.25,0.46
401525817,2023,1,Baylor,Big 12,Texas State,0.23,0.61,-0.18,0.41,0.85,0.05
401523997,2023,1,Boise State,Mountain West,Washington,0.07,-0.01,0.21,0.53,0.64,0.29
401525464,2023,1,Boston College,ACC,Northern Illinois,0.0,-0.25,0.4,-0.01,0.15,-0.11
401520160,2023,1,Bowling Green,Mid-American,Liberty,0.04,-0.07,0.41,-0.04,0.3,0.03
401520180,2023,1,Buffalo,Mid-American,Wisconsin,-0.01,0.08,-0.12,0.29,0.23,0.41
401520152,2023,1,BYU,Big 12,Sam Houston,0.01,-0.12,0.13,-0.14,-0.09,-0.01
401523991,2023,1,California,Pac-12,North Texas,0.43,0.59,0.37,0.0,0.28,-0.15
401520163,2023,1,Central Michigan,Mid-American,Michigan State,-0.19,-0.11,-0.14,0.17,0.34,-0.04
401531402,2023,1,Charlotte,American Athletic,South Carolina State,0.16,0.17,0.25,-0.28,-0.31,-0.25
401525818,2023,1,Cincinnati,Big 12,Eastern Kentucky,0.77,1.54,0.28,0.2,0.38,0.19
401525468,2023,1,Clemson,ACC,Duke,0.0,-0.06,0.06,0.19,0.16,0.23
401523995,2023,1,Coastal Carolina,Sun Belt,UCLA,0.06,0.18,-0.13,0.1,0.11,0.09
401523994,2023,1,Colorado,Pac-12,TCU,0.48,0.77,-0.03,0.29,0.36,0.45
401523990,2023,1,Colorado State,Mountain West,Washington State,0.08,0.28,-0.19,0.29,0.44,0.05
401525468,2023,1,Duke,ACC,Clemson,0.19,0.16,0.23,0.0,-0.06,0.06
401520162,2023,1,East Carolina,American Athletic,Michigan,0.06,0.22,-0.06,0.46,0.76,0.15
401532394,2023,1,Eastern Michigan,Mid-American,Howard,0.19,0.28,0.2,0.17,0.05,0.33
401520176,2023,1,Florida,SEC,Utah,0.07,0.11,-0.04,0.09,0.21,0.0
401531418,2023,1,Florida Atlantic,American Athletic,Monmouth,0.38,0.88,0.0,0.13,0.25,0.0
401520153,2023,1,Florida International,Conference USA,Maine,-0.04,0.12,-0.13,-0.1,-0.06,-0.16
401520146,2023,1,Florida International,Conference USA,Louisiana Tech,0.03,-0.58,0.34,0.1,0.47,-0.2
401520182,2023,1,Florida State,ACC,LSU,0.44,0.86,0.06,0.19,0.18,0.2
401520170,2023,1,Fresno State,Mountain West,Purdue,0.31,0.64,-0.09,0.18,0.42,-0.05
401520154,2023,1,Georgia,SEC,UT Martin,0.44,0.48,0.39,-0.12,-0.31,0.1
401531836,2023,1,Georgia Southern,Sun Belt,The Citadel,0.29,0.23,0.38,-0.1,-0.76,0.04
401531834,2023,1,Georgia State,Sun Belt,Rhode Island,0.42,0.56,0.35,0.27,0.44,0.2
401525462,2023,1,Georgia Tech,ACC,Louisville,0.26,0.44,0.19,0.42,0.57,0.27
401523988,2023,1,Hawai'i,Mountain West,Stanford,0.2,0.25,-0.09,0.23,0.41,0.05
401520147,2023,1,Hawai'i,Mountain West,Vanderbilt,0.24,0.66,-0.14,0.11,0.41,-0.31
401525819,2023,1,Houston,Big 12,UTSA,-0.02,0.21,-0.27,0.18,0.22,0.32
401520155,2023,1,Illinois,Big Ten,Toledo,0.29,0.67,0.12,0.19,0.08,0.28
401520156,2023,1,Indiana,Big Ten,Ohio State,-0.08,-0.01,-0.13,0.22,0.35,0.19
401520157,2023,1,Iowa,Big Ten,Utah State,0.03,0.43,-0.34,0.06,0.02,0.17
401525820,2023,1,Iowa State,Big 12,Northern Iowa,0.23,0.17,0.28,-0.18,-0.2,-0.14
401520158,2023,1,Jacksonville State,Conference USA,East Tennessee State,0.23,0.24,0.23,-0.14,0.02,-0.21
401520145,2023,1,Jacksonville State,Conference USA,UTEP,0.03,-0.05,0.07,0.06,0.23,0.07
401531837,2023,1,James Madison,Sun Belt,Bucknell,0.16,0.17,0.2,-0.17,0.0,-0.32
401525815,2023,1,Kansas,Big 12,Missouri State,0.53,0.77,0.36,0.24,0.44,0.14
401525821,2023,1,Kansas State,Big 12,Southeast Missouri State,0.43,0.64,0.3,-0.09,0.03,-0.33
401525816,2023,1,Kent State,Mid-American,UCF,-0.04,0.11,-0.15,0.49,0.66,0.57
401520159,2023,1,Kentucky,SEC,Ball State,0.28,0.25,0.46,0.0,0.44,-0.34
401520160,2023,1,Liberty,Conference USA,Bowling Green,-0.04,0.3,0.03,0.04,-0.07,0.41
401531839,2023,1,Louisiana,Sun Belt,Northwestern State,0.14,-0.04,0.33,-0.14,-0.29,0.01
401520146,2023,1,Louisiana Tech,Conference USA,Florida International,0.1,0.47,-0.2,0.03,-0.58,0.34
401520172,2023,1,Louisiana Tech,Conference USA,SMU,-0.12,-0.13,-0.1,0.17,0.32,0.03
401525462,2023,1,Louisville,ACC,Georgia Tech,0.42,0.57,0.27,0.26,0.44,0.19
401520182,2023,1,LSU,SEC,Florida State,0.19,0.18,0.2,0.44,0.86,0.06
401531838,2023,1,Marshall,Sun Belt,UAlbany,0.23,0.23,0.24,0.03,-0.01,0.1
401520161,2023,1,Maryland,Big Ten,Towson,0.28,0.22,0.34,0.03,-0.23,0.3
