game_id,season,week,team,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401864496,2026,1,Air Force,Duquesne,0.4,-0.51,0.51,-0.34,-0.37,-0.15
401858204,2026,1,Akron,Wake Forest,-0.03,0.05,-0.01,0.48,0.64,0.31
401856634,2026,1,Alabama,East Carolina,0.24,0.22,0.26,-0.2,-0.04,-0.38
401866627,2026,1,App State,Maine,0.61,0.74,0.52,-0.16,0.07,-0.37
401856773,2026,1,Arizona,Northern Arizona,0.16,0.23,0.18,-0.43,-0.25,-0.47
401856774,2026,1,Arizona State,Morgan State,0.65,0.87,0.43,-0.12,-0.1,-0.02
401856635,2026,1,Arkansas,North Alabama,0.09,0.49,-0.16,-0.07,-0.07,-0.05
401862695,2026,1,Arkansas State,Memphis,0.09,0.17,0.21,0.43,0.96,0.38
401862701,2026,1,Army,Bryant,0.69,-0.03,0.85,-0.14,-0.2,-0.09
401856636,2026,1,Auburn,Baylor,-0.04,0.01,-0.14,-0.01,0.21,-0.29
401858432,2026,1,Ball State,Ohio State,-0.33,-0.36,-0.27,0.61,0.87,0.46
401856636,2026,1,Baylor,Auburn,-0.01,0.21,-0.29,-0.04,0.01,-0.14
401858433,2026,1,Boise State,Oregon,0.05,0.16,-0.02,0.17,0.18,0.2
401856777,2026,1,Boston College,Cincinnati,-0.04,0.02,0.04,0.24,0.19,0.27
401866410,2026,1,Bowling Green,Tarleton State,-0.1,0.56,-0.64,0.04,0.31,-0.17
401866409,2026,1,Buffalo,UAlbany,0.15,0.2,-0.03,-0.06,0.09,-0.21
401856775,2026,1,BYU,Utah Tech,0.54,0.53,0.56,-0.29,0.04,-0.38
401858210,2026,1,California,UCLA,-0.06,0.07,-0.16,0.41,0.01,0.75
401864498,2026,1,Central Michigan,New Mexico,-0.18,-0.11,-0.01,0.22,0.07,0.34
401862694,2026,1,Charlotte,The Citadel,0.21,0.13,0.41,0.38,0.38,0.38
401856777,2026,1,Cincinnati,Boston College,0.24,0.19,0.27,-0.04,0.02,0.04
401856660,2026,1,Clemson,LSU,-0.3,-0.36,-0.21,0.38,0.43,0.32
401856780,2026,1,Coastal Carolina,West Virginia,0.17,0.45,-0.34,0.13,0.64,0.0
401856776,2026,1,Colorado,Georgia Tech,0.05,0.07,0.02,0.07,0.43,-0.26
401860878,2026,1,Colorado State,Wyoming,0.3,0.54,0.06,-0.13,-0.04,0.08
401864424,2026,1,Delaware,Merrimack,0.34,0.52,0.24,-0.22,-0.01,-0.36
401858209,2026,1,Duke,Tulane,-0.13,-0.3,0.06,-0.13,-0.11,-0.26
401856634,2026,1,East Carolina,Alabama,-0.2,-0.04,-0.38,0.24,0.22,0.26
401864495,2026,1,Eastern Michigan,San José State,-0.17,-0.11,0.0,0.07,0.36,-0.12
401866408,2026,1,Eastern Michigan,Sacramento State,0.06,0.28,-0.23,-0.12,-0.14,-0.05
401856637,2026,1,Florida,Florida Atlantic,0.61,0.88,0.45,-0.01,0.01,-0.05
401856637,2026,1,Florida Atlantic,Florida,-0.01,0.01,-0.05,0.61,0.88,0.45
401862699,2026,1,Florida International,South Florida,-0.12,0.01,-0.37,-0.06,0.16,-0.1
401864570,2026,1,Florida State,New Mexico State,0.27,0.38,0.33,0.11,0.32,-0.07
401858212,2026,1,Florida State,SMU,0.14,0.25,0.07,0.36,0.56,0.13
401858436,2026,1,Fresno State,USC,-0.35,-0.08,-0.28,0.23,1.28,-0.53
401856658,2026,1,Georgia,Tennessee State,0.73,0.76,0.69,-0.14,0.04,-0.36
401868170,2026,1,Georgia Southern,Charleston Southern,0.19,0.35,-0.03,-0.3,-0.12,-0.43
401866623,2026,1,Georgia State,North Carolina A&T,0.51,0.51,0.5,-0.07,-0.19,0.11
401856776,2026,1,Georgia Tech,Colorado,0.07,0.43,-0.26,0.05,0.07,0.02
401858201,2026,1,Hawai'i,Stanford,0.05,0.14,-0.08,0.31,0.38,0.22
401864497,2026,1,Hawai'i,UNLV,-0.08,-0.07,0.12,0.07,-0.41,0.32
401856778,2026,1,Houston,Oregon State,0.28,0.41,0.14,0.06,0.17,-0.21
401858424,2026,1,Illinois,UAB,0.46,0.89,0.11,0.14,0.06,0.23
401858425,2026,1,Indiana,North Texas,0.65,1.64,0.13,0.05,0.15,0.0
401858426,2026,1,Iowa,Northern Illinois,0.03,0.04,0.18,-0.42,-0.15,-0.47
401856779,2026,1,Iowa State,Southeast Missouri State,0.24,0.39,0.18,-0.25,-0.11,-0.29
401864577,2026,1,Jacksonville State,North Dakota State,-0.38,-0.43,-0.31,0.16,0.41,0.11
401868140,2026,1,Jacksonville State,Eastern Kentucky,0.53,1.05,0.23,-0.25,-0.64,-0.06
401869960,2026,1,James Madison,Liberty,0.28,0.39,0.21,-0.02,0.12,-0.12
401856769,2026,1,Kansas,Long Island University,0.55,1.09,0.32,-0.18,0.15,-0.42
401856771,2026,1,Kansas State,Nicholls,0.55,0.81,0.39,-0.28,-0.33,-0.09
401864425,2026,1,Kennesaw State,West Georgia,0.2,0.06,0.32,-0.38,-0.26,-0.54
401856665,2026,1,Kent State,South Carolina,-0.08,-0.06,-0.07,0.68,0.87,0.5
401856659,2026,1,Kentucky,Youngstown State,0.56,0.9,0.32,0.03,0.04,0.04
401869960,2026,1,Liberty,James Madison,-0.02,0.12,-0.12,0.28,0.39,0.21
401869142,2026,1,Louisiana,Lamar,0.27,0.29,0.45,-0.36,0.01,-0.52
401869129,2026,1,Louisiana Tech,Northwestern State,0.6,1.24,0.3,-0.3,0.07,-0.19
401856661,2026,1,Louisville,Ole Miss,0.28,0.47,0.11,0.23,0.54,0.06
401856660,2026,1,LSU,Clemson,0.38,0.43,0.32,-0.3,-0.36,-0.21
401858434,2026,1,Marshall,Penn State,-0.37,0.07,-0.73,0.42,0.93,0.11
401858427,2026,1,Maryland,Hampton,0.48,0.44,0.54,-0.43,-0.43,-0.3
401858423,2026,1,Massachusetts,Rutgers,0.33,0.65,0.17,-0.02,0.19,-0.56
401862693,2026,1,Memphis,UNLV,0.22,0.41,0.06,0.02,-0.06,0.19
401862695,2026,1,Memphis,Arkansas State,0.43,0.96,0.38,0.09,0.17,0.21
401858206,2026,1,Miami,Stanford,0.46,1.1,-0.03,0.01,0.07,-0.08
401858207,2026,1,Miami (OH),Pittsburgh,0.07,0.26,-0.14,0.42,0.72,0.06
401858428,2026,1,Michigan,Western Michigan,0.15,0.13,0.16,-0.04,-0.19,-0.04
401858429,2026,1,Michigan State,Toledo,0.01,0.34,-0.18,0.1,0.16,0.05
401867866,2026,1,Middle Tennessee,Murray State,0.39,0.32,0.52,0.14,0.24,0.06
401858422,2026,1,Minnesota,Eastern Illinois,0.34,0.63,0.1,-0.38,0.36,-0.32
401856662,2026,1,Mississippi State,UL Monroe,0.64,0.62,0.66,-0.08,-0.06,-0.06
401856663,2026,1,Missouri,Arkansas-Pine Bluff,0.35,0.71,0.14,0.02,-0.1,0.21
401856668,2026,1,Missouri State,Texas A&M,-0.43,-0.27,-0.54,0.35,0.38,0.29
401862696,2026,1,Navy,Towson,0.48,-0.37,0.55,0.05,0.39,-0.13
401858202,2026,1,NC State,Virginia,-0.31,-0.23,-0.22,0.27,0.86,0.19
401858430,2026,1,Nebraska,Ohio,0.46,0.37,0.53,0.06,-0.16,0.22
401864432,2026,1,Nevada,Western Kentucky,0.5,0.23,0.57,0.03,0.2,-0.15
401864498,2026,1,New Mexico,Central Michigan,0.22,0.07,0.34,-0.18,-0.11,-0.01
401870790,2026,1,New Mexico State,Mercyhurst,0.37,0.76,0.19,-0.15,-0.2,-0.17
401864570,2026,1,New Mexico State,Florida State,0.11,0.32,-0.07,0.27,0.38,0.33
401856766,2026,1,North Carolina,TCU,-0.01,0.27,-0.35,-0.07,-0.04,-0.03
401864577,2026,1,North Dakota State,Jacksonville State,0.16,0.41,0.11,-0.38,-0.43,-0.31
401864499,2026,1,North Dakota State,Fordham,0.26,0.38,0.14,-0.46,-0.53,-0.4
401858426,2026,1,Northern Illinois,Iowa,-0.42,-0.15,-0.47,0.03,0.04,0.18
401858425,2026,1,North Texas,Indiana,0.05,0.15,0.0,0.65,1.64,0.13
401858431,2026,1,Northwestern,South Dakota State,0.48,0.47,0.52,0.09,0.07,0.1
401858438,2026,1,Notre Dame,Wisconsin,0.35,0.44,0.22,-0.04,0.07,-0.16
401858430,2026,1,Ohio,Nebraska,0.06,-0.16,0.22,0.46,0.37,0.53
401858432,2026,1,Ohio State,Ball State,0.61,0.87,0.46,-0.33,-0.36,-0.27
401856664,2026,1,Oklahoma,UTEP,0.39,0.82,0.16,-0.49,-0.39,-0.31
401856772,2026,1,Oklahoma State,Tulsa,-0.2,0.07,-0.3,0.18,0.44,0.04
401867973,2026,1,Old Dominion,Norfolk State,0.04,0.13,0.04,-0.27,-0.28,-0.27
401856661,2026,1,Ole Miss,Louisville,0.23,0.54,0.06,0.28,0.47,0.11
401858433,2026,1,Oregon,Boise State,0.17,0.18,0.2,0.05,0.16,-0.02
401856778,2026,1,Oregon State,Houston,0.06,0.17,-0.21,0.28,0.41,0.14
401858434,2026,1,Penn State,Marshall,0.42,0.93,0.11,-0.37,0.07,-0.73
401858207,2026,1,Pittsburgh,Miami (OH),0.42,0.72,0.06,0.07,0.26,-0.14
401858435,2026,1,Purdue,Indiana State,0.33,0.63,0.17,0.01,0.09,-0.08
401862697,2026,1,Rice,Houston Christian,0.19,-0.2,0.31,-0.3,-0.51,-0.11
401858423,2026,1,Rutgers,Massachusetts,-0.02,0.19,-0.56,0.33,0.65,0.17
401866411,2026,1,Sacramento State,Mississippi Valley State,0.25,0.61,0.13,-0.2,-0.2,-0.3
401866408,2026,1,Sacramento State,Eastern Michigan,-0.12,-0.14,-0.05,0.06,0.28,-0.23
401870763,2026,1,Sam Houston,Troy,0.07,0.23,-0.33,0.16,0.29,0.02
401860879,2026,1,San Diego State,Portland State,0.13,0.28,0.18,-0.07,0.07,-0.2
401864494,2026,1,San José State,USC,0.21,0.32,0.06,0.34,0.28,0.39
401864495,2026,1,San José State,Eastern Michigan,0.07,0.36,-0.12,-0.17,-0.11,0.0
401858212,2026,1,SMU,Florida State,0.36,0.56,0.13,0.14,0.25,0.07
401868316,2026,1,South Alabama,SE Louisiana,0.09,0.08,0.15,-0.11,0.32,-0.52
401856665,2026,1,South Carolina,Kent State,0.68,0.87,0.5,-0.08,-0.06,-0.07
401868356,2026,1,Southern Miss,Alcorn State,0.35,0.13,0.46,-0.26,0.15,-0.31
401862699,2026,1,South Florida,Florida International,-0.06,0.16,-0.1,-0.12,0.01,-0.37
401858206,2026,1,Stanford,Miami,0.01,0.07,-0.08,0.46,1.1,-0.03
401858201,2026,1,Stanford,Hawai'i,0.31,0.38,0.22,0.05,0.14,-0.08
401858208,2026,1,Syracuse,New Hampshire,0.35,0.41,0.33,-0.39,-0.42,-0.31
401856766,2026,1,TCU,North Carolina,-0.07,-0.04,-0.03,-0.01,0.27,-0.35
401862698,2026,1,Temple,Rhode Island,0.17,0.27,0.15,-0.03,-0.02,-0.02
401856666,2026,1,Tennessee,Furman,0.49,0.72,0.34,-0.21,-0.55,0.12
401856667,2026,1,Texas,Texas State,0.46,0.91,0.14,-0.01,0.14,-0.16
401856668,2026,1,Texas A&M,Missouri State,0.35,0.38,0.29,-0.43,-0.27,-0.54
401856667,2026,1,Texas State,Texas,-0.01,0.14,-0.16,0.46,0.91,0.14
401856770,2026,1,Texas Tech,Abilene Christian,0.28,0.57,0.16,-0.21,-0.27,-0.12
401858429,2026,1,Toledo,Michigan State,0.1,0.16,0.05,0.01,0.34,-0.18
401870763,2026,1,Troy,Sam Houston,0.16,0.29,0.02,0.07,0.23,-0.33
401858209,2026,1,Tulane,Duke,-0.13,-0.11,-0.26,-0.13,-0.3,0.06
401856772,2026,1,Tulsa,Oklahoma State,0.18,0.44,0.04,-0.2,0.07,-0.3
401858424,2026,1,UAB,Illinois,0.14,0.06,0.23,0.46,0.89,0.11
401856767,2026,1,UCF,Bethune-Cookman,0.49,-0.02,0.79,-0.16,-0.17,-0.16
401858210,2026,1,UCLA,California,0.41,0.01,0.75,-0.06,0.07,-0.16
401861962,2026,1,UConn,Lafayette,0.55,0.69,0.47,-0.16,-0.23,-0.05
401856662,2026,1,UL Monroe,Mississippi State,-0.08,-0.06,-0.06,0.64,0.62,0.66
401862693,2026,1,UNLV,Memphis,0.02,-0.06,0.19,0.22,0.41,0.06
401864497,2026,1,UNLV,Hawai'i,0.07,-0.41,0.32,-0.08,-0.07,0.12
401864494,2026,1,USC,San José State,0.34,0.28,0.39,0.21,0.32,0.06
401858436,2026,1,USC,Fresno State,0.23,1.28,-0.53,-0.35,-0.08,-0.28
401856768,2026,1,Utah,Idaho,0.51,0.68,0.45,0.01,-0.14,0.11
401860880,2026,1,Utah State,Idaho State,-0.06,-0.12,-0.03,0.03,0.13,0.0
401856664,2026,1,UTEP,Oklahoma,-0.49,-0.39,-0.31,0.39,0.82,0.16
401862700,2026,1,UTSA,UT Rio Grande Valley,0.48,0.52,0.42,-0.16,-0.23,0.15
401856669,2026,1,Vanderbilt,Austin Peay,0.26,0.34,0.23,-0.03,-0.16,0.21
401858202,2026,1,Virginia,NC State,0.27,0.86,0.19,-0.31,-0.23,-0.22
401858211,2026,1,Virginia Tech,VMI,0.47,0.54,0.47,-0.5,-0.11,-0.51
401858204,2026,1,Wake Forest,Akron,0.48,0.64,0.31,-0.03,0.05,-0.01
401858437,2026,1,Washington,Washington State,0.05,0.2,0.0,-0.17,-0.38,0.0
401858437,2026,1,Washington State,Washington,-0.17,-0.38,0.0,0.05,0.2,0.0
401864432,2026,1,Western Kentucky,Nevada,0.03,0.2,-0.15,0.5,0.23,0.57
401858428,2026,1,Western Michigan,Michigan,-0.04,-0.19,-0.04,0.15,0.13,0.16
401856780,2026,1,West Virginia,Coastal Carolina,0.13,0.64,0.0,0.17,0.45,-0.34
401858438,2026,1,Wisconsin,Notre Dame,-0.04,0.07,-0.16,0.35,0.44,0.22
401860878,2026,1,Wyoming,Colorado State,-0.13,-0.04,0.08,0.3,0.54,0.06
401864502,2026,2,Air Force,North Dakota State,0.22,0.65,0.11,0.11,0.27,0.04
401866412,2026,2,Akron,Robert Morris,0.34,0.39,0.31,-0.26,0.45,-0.9
401856674,2026,2,Alabama,Kentucky,0.13,0.13,0.24,-0.34,-0.19,-0.52
401864571,2026,2,App State,East Carolina,0.17,0.49,-0.03,0.28,0.22,0.33
401856810,2026,2,Arizona,BYU,0.11,0.13,0.08,0.46,0.39,0.41
401856683,2026,2,Arizona State,Texas A&M,-0.33,-0.28,-0.37,0.0,0.35,-0.17
401856670,2026,2,Arkansas,Utah,-0.04,-0.11,0.02,0.28,0.3,0.31
401868241,2026,2,Arkansas State,West Georgia,0.45,0.41,0.5,-0.1,0.29,-0.48
401862702,2026,2,Army,South Florida,0.13,0.8,-0.01,0.35,0.41,0.32
401856671,2026,2,Auburn,Southern Miss,0.29,0.25,0.49,-0.23,-0.1,-0.16
401866413,2026,2,Ball State,Stony Brook,0.26,0.43,0.34,-0.04,-0.27,0.3
401856784,2026,2,Baylor,Prairie View A&M,0.26,0.15,0.41,-0.33,-0.22,-0.56
401860881,2026,2,Boise State,Memphis,0.46,0.25,0.51,0.01,0.48,-0.08
401858214,2026,2,Boston College,Rutgers,-0.02,0.26,0.0,-0.08,0.4,-0.11
401858441,2026,2,Bowling Green,Nebraska,0.04,-0.04,0.06,0.59,0.67,0.59
401866414,2026,2,Buffalo,Florida International,-0.03,0.08,-0.22,0.11,0.41,-0.15
401856810,2026,2,BYU,Arizona,0.46,0.39,0.41,0.11,0.13,0.08
401858216,2026,2,California,Syracuse,-0.11,-0.07,-0.17,-0.14,-0.06,-0.05
401866415,2026,2,Central Michigan,Colgate,-0.08,-0.6,0.17,-0.11,-0.04,-0.28
401856676,2026,2,Charlotte,Ole Miss,-0.02,0.02,-0.05,0.34,0.46,0.5
401856786,2026,2,Cincinnati,Western Carolina,0.57,0.51,0.63,0.0,0.04,0.09
401858219,2026,2,Clemson,Georgia Southern,-0.11,0.09,-0.11,-0.1,-0.09,-0.13
401868008,2026,2,Coastal Carolina,Fordham,0.24,0.11,0.34,-0.2,0.13,-0.05
401856785,2026,2,Colorado,Weber State,0.47,0.58,0.36,-0.16,0.0,-0.28
401860882,2026,2,Colorado State,Southern Utah,0.49,0.45,0.63,-0.01,0.21,0.03
401856684,2026,2,Delaware,Vanderbilt,-0.18,-0.14,-0.02,-0.08,0.17,-0.1
401858217,2026,2,Duke,Illinois,0.4,0.76,0.17,0.06,0.25,-0.11
401864571,2026,2,East Carolina,App State,0.28,0.22,0.33,0.17,0.49,-0.03
401858440,2026,2,Eastern Michigan,Michigan State,0.04,-0.18,0.25,0.3,0.23,0.36
401856672,2026,2,Florida,Campbell,0.39,0.58,0.35,-0.43,-0.21,-0.29
401862703,2026,2,Florida Atlantic,Navy,0.2,0.59,-0.06,0.1,-0.17,0.28
401866414,2026,2,Florida International,Buffalo,0.11,0.41,-0.15,-0.03,0.08,-0.22
401860883,2026,2,Fresno State,Sacramento State,0.39,0.78,0.16,-0.19,-0.42,0.04
401856673,2026,2,Georgia,Western Kentucky,0.56,0.81,0.29,-0.18,-0.26,-0.09
401858219,2026,2,Georgia Southern,Clemson,-0.1,-0.09,-0.13,-0.11,0.09,-0.11
401869955,2026,2,Georgia State,Kennesaw State,0.26,0.63,0.11,0.02,0.15,0.03
401856681,2026,2,Georgia Tech,Tennessee,-0.07,-0.27,0.26,0.24,0.34,0.37
401864578,2026,2,Hawai'i,New Mexico State,0.13,0.35,-0.23,-0.01,-0.09,0.09
401856787,2026,2,Houston,Southern,0.77,1.18,0.62,-0.31,-0.24,-0.38
401858217,2026,2,Illinois,Duke,0.06,0.25,-0.11,0.4,0.76,0.17
401858439,2026,2,Indiana,Howard,0.53,0.91,0.35,-0.42,-0.56,-0.2
401856788,2026,2,Iowa,Iowa State,-0.04,0.19,-0.17,0.08,0.47,-0.12
401856788,2026,2,Iowa State,Iowa,0.08,0.47,-0.12,-0.04,0.19,-0.17
401866418,2026,2,Jacksonville State,Ohio,0.27,0.81,-0.04,0.1,0.07,0.12
401867929,2026,2,James Madison,Wagner,0.64,0.58,0.73,-0.52,-0.16,-0.29
401856678,2026,2,Kansas,Missouri,-0.13,-0.09,-0.26,0.13,0.73,-0.06
