year,team,rank,points,season
2026,USC,1,310.67,2026
2026,Alabama,2,303.79,2026
2026,Oregon,3,303.22,2026
2026,Ohio State,4,301.23,2026
2026,Notre Dame,5,299.28,2026
2026,Georgia,6,291.98,2026
2026,Texas,7,291.18,2026
2026,Tennessee,8,290.71,2026
2026,Miami,9,284.61,2026
2026,Texas A&M,10,283.13,2026
2026,LSU,11,272.69,2026
2026,Michigan,12,270.12,2026
2026,Washington,13,262.32,2026
2026,South Carolina,14,256.43,2026
2026,Oklahoma,15,252.55,2026
2026,Florida State,16,251.54,2026
2026,Florida,17,250.98,2026
2026,Texas Tech,18,250.26,2026
2026,North Carolina,19,247.7,2026
2026,Clemson,20,243.28,2026
2026,BYU,21,237.33,2026
2026,Ole Miss,22,236.72,2026
2026,Mississippi State,23,230.56,2026
2026,Illinois,24,230.18,2026
2026,West Virginia,25,229.51,2026
2026,Iowa,26,228.57,2026
2026,Utah,27,226.89,2026
2026,Minnesota,28,226.67,2026
2026,Indiana,29,226.46,2026
2026,Virginia Tech,30,226.24,2026
2026,Auburn,31,225.99,2026
2026,SMU,32,225.82,2026
2026,Vanderbilt,33,225.43,2026
2026,Missouri,34,225.09,2026
2026,Syracuse,35,224.78,2026
2026,Rutgers,36,220.7,2026
2026,Stanford,37,218.95,2026
2026,Houston,38,218.85,2026
2026,Wake Forest,39,217.86,2026
2026,Arizona State,40,217.26,2026
2026,Georgia Tech,41,216.7,2026
2026,Arizona,42,216.67,2026
2026,Maryland,43,215.87,2026
2026,Pittsburgh,44,214.09,2026
2026,Michigan State,45,213.73,2026
2026,Arkansas,46,212.68,2026
2026,TCU,47,212.6,2026
2026,Louisville,48,211.65,2026
2026,NC State,49,210.28,2026
2026,Kansas State,50,207.83,2026
2026,Boise State,51,205.71,2026
2026,Northwestern,52,204.95,2026
2026,Boston College,53,204.06,2026
2026,Iowa State,54,203.31,2026
2026,Purdue,55,203.29,2026
2026,California,56,202.81,2026
2026,Baylor,57,200.6,2026
2026,Cincinnati,58,199.89,2026
2026,App State,59,198.58,2026
2026,Kentucky,60,197.21,2026
2026,Kansas,61,196.96,2026
2026,UCLA,62,196.57,2026
2026,UNLV,63,196.45,2026
2026,Tulane,64,195.14,2026
2026,Penn State,65,194.39,2026
2026,UCF,66,194.3,2026
2026,Colorado,67,193.36,2026
2026,Temple,68,192.17,2026
2026,Oklahoma State,69,190.27,2026
2026,Fresno State,70,189.36,2026
2026,Duke,71,189.26,2026
2026,Memphis,72,189.2,2026
2026,Colorado State,73,188.82,2026
2026,Texas State,74,188.31,2026
2026,Bowling Green,75,188.03,2026
2026,Troy,76,187.25,2026
2026,South Alabama,77,187.23,2026
2026,Wisconsin,78,186.75,2026
2026,UTSA,79,185.81,2026
2026,James Madison,80,185.6,2026
2026,Western Kentucky,81,185.21,2026
2026,Northern Illinois,82,184.9,2026
2026,San Diego State,83,184.15,2026
2026,Georgia State,84,184.01,2026
2026,Arkansas State,85,183.85,2026
2026,Jacksonville State,86,183.36,2026
2026,New Mexico,87,182.61,2026
2026,Nebraska,88,182.28,2026
2026,Georgia Southern,89,181.78,2026
2026,South Florida,90,180.12,2026
2026,Louisiana,91,179.8,2026
2026,UTEP,92,179.56,2026
2026,Tulsa,93,179.39,2026
2026,East Carolina,94,178.99,2026
2026,Central Michigan,95,178.86,2026
2026,Old Dominion,96,178.55,2026
2026,Utah State,97,177.56,2026
2026,Nevada,98,177.11,2026
2026,Louisiana Tech,99,177.0,2026
2026,Oregon State,100,176.78,2026
2026,Buffalo,101,176.6,2026
2026,Florida International,102,176.58,2026
2026,Charlotte,103,176.53,2026
2026,Rice,104,176.01,2026
2026,Miami (OH),105,175.9,2026
2026,Eastern Michigan,106,175.41,2026
2026,Ohio,107,175.4,2026
2026,Southern Miss,108,175.33,2026
2026,Liberty,109,172.64,2026
2026,UConn,110,172.49,2026
2026,Virginia,111,171.82,2026
2026,Western Michigan,112,171.38,2026
2026,Ball State,113,170.02,2026
2026,Wyoming,114,169.68,2026
2026,Delaware,115,167.01,2026
2026,Massachusetts,116,166.97,2026
2026,North Dakota State,117,166.58,2026
2026,Coastal Carolina,118,165.03,2026
2026,Middle Tennessee,119,164.9,2026
2026,Kennesaw State,120,163.41,2026
2026,Toledo,121,162.52,2026
2026,Kent State,122,162.2,2026
2026,Marshall,123,162.09,2026
2026,Hawai'i,124,161.47,2026
2026,Sacramento State,125,161.23,2026
2026,Sam Houston,126,161.18,2026
2026,UL Monroe,127,160.28,2026
2026,Washington State,128,159.25,2026
2026,San José State,129,158.65,2026
2026,Florida Atlantic,130,157.5,2026
2026,Missouri State,131,151.56,2026
2026,Idaho,132,150.0,2026
2026,Akron,133,147.36,2026
2026,Montana State,134,142.34,2026
2026,UAB,135,135.31,2026
2026,New Mexico State,136,129.05,2026
2026,North Texas,137,128.04,2026
2026,Northern Arizona,138,127.93,2026
2026,Cal Poly,139,120.6,2026
2026,UC Davis,140,117.36,2026
2026,Air Force,141,116.49,2026
2026,Harvard,142,106.82,2026
2026,Eastern Washington,143,106.39,2026
2026,Navy,144,99.4,2026
2026,Illinois State,145,97.52,2026
2026,West Georgia,146,95.93,2026
2026,Utah Tech,147,94.83,2026
2026,Portland State,148,92.18,2026
2026,Stephen F. Austin,149,90.81,2026
2026,McNeese,150,86.12,2026
2026,Weber State,151,85.27,2026
2026,Montana,152,80.74,2026
2026,Southern,153,77.8,2026
2026,Murray State,154,74.36,2026
2026,North Dakota,155,74.17,2026
2026,Gardner-Webb,156,74.17,2026
2026,South Dakota State,157,71.9,2026
2026,Jackson State,158,70.68,2026
2026,Villanova,159,65.77,2026
2026,Wofford,160,60.53,2026
2026,Nicholls,161,57.53,2026
2026,Rhode Island,162,56.44,2026
2026,Furman,163,55.92,2026
2026,Howard,164,53.45,2026
2026,Pennsylvania,165,53.11,2026
2026,Columbia,166,51.95,2026
2026,Albany,167,51.51,2026
2026,Alabama State,168,51.0,2026
2026,UT Martin,169,49.51,2026
2026,Mercer,170,49.48,2026
2026,Idaho State,171,48.56,2026
2026,South Dakota,172,48.03,2026
2026,Prairie View A&M,173,47.66,2026
2026,Western Carolina,174,45.43,2026
2026,Towson,175,44.84,2026
2026,Chattanooga,176,44.57,2026
2026,Samford,177,43.62,2026
2026,Central Arkansas,178,43.57,2026
2026,Lamar,180,40.62,2026
2026,Army,181,39.85,2026
2026,Abilene Christian,182,39.63,2026
2026,Lehigh,183,39.62,2026
2026,Brown,184,39.6,2026
2026,Southeastern Louisiana,185,39.43,2026
2026,Lafayette,186,38.63,2026
2026,Princeton,187,35.7,2026
2026,Northern Colorado,188,31.24,2026
2026,Savannah State,189,30.91,2026
2026,Colgate,191,30.24,2026
2026,Lindenwood,192,29.92,2026
2026,Eastern Kentucky,193,27.92,2026
2026,West Florida,194,26.92,2026
2026,East Tennessee State,195,26.17,2026
2026,Florida A&M,197,25.93,2026
2026,Austin Peay,198,24.94,2026
2026,Cornell,199,23.93,2026
2026,North Alabama,200,23.93,2026
2026,Northwestern State,201,23.43,2026
2026,North Carolina A&T,202,18.0,2026
2026,Texas Southern,203,16.89,2026
2026,Alabama A&M,206,16.11,2026
2026,Youngstown State,207,16.0,2026
2026,Richmond,209,15.78,2026
2026,Mississippi Valley State,210,15.67,2026
2026,Tarleton State,211,15.5,2026
2026,Delaware State,212,15.0,2026
2026,Bryant,213,14.78,2026
2026,Dartmouth,214,14.0,2026
2026,Western Illinois,214,14.0,2026
2026,William & Mary,214,14.0,2026
2026,Bethune-Cookman,214,14.0,2026
2026,Hampton,214,14.0,2026
2026,UTRGV,220,13.5,2026
2026,Grand Valley State,220,13.5,2026
2026,Fordham,220,13.5,2026
2026,Grambling,223,13.0,2026
2026,Yale,223,13.0,2026
2026,Tennessee State,227,12.5,2026
2026,Presbyterian,228,10.0,2026
2026,Merrimack,228,10.0,2026
2026,San Diego,228,10.0,2026
