year,team,conference,rating,ranking,secondOrderWins,sos,offense,defense,specialTeams
2016,Alabama,SEC,31.7,1.0,13.8,0.787,"{'ranking': 13, 'rating': 40, 'success': 114.1, 'explosiveness': 108.6, 'rushing': 119.1, 'passing': 106.2, 'standardDowns': 110.1, 'passingDowns': 118.8, 'runRate': 0.564, 'pace': 0.3}","{'ranking': 1, 'rating': 8.6, 'success': 150, 'explosiveness': 107.4, 'rushing': 157, 'passing': 122, 'standardDowns': 127.1, 'passingDowns': 130.5, 'havoc': {'total': 0.21, 'frontSeven': 0.134, 'db': 0.075}}",{'rating': 0.4}
2016,Clemson,ACC,28.7,2.0,12.8,0.82,"{'ranking': 3, 'rating': 43.5, 'success': 129, 'explosiveness': 94.4, 'rushing': 108.6, 'passing': 115.1, 'standardDowns': 114.1, 'passingDowns': 107.9, 'runRate': 0.42100000000000004, 'pace': -1.4}","{'ranking': 6, 'rating': 14.1, 'success': 123.6, 'explosiveness': 103.6, 'rushing': 110.4, 'passing': 119.6, 'standardDowns': 110.4, 'passingDowns': 117.6, 'havoc': {'total': 0.22, 'frontSeven': 0.141, 'db': 0.079}}",{'rating': -0.7}
2016,Washington,Big Ten,26.7,3.0,11.9,0.874,"{'ranking': 12, 'rating': 40.2, 'success': 122, 'explosiveness': 108.2, 'rushing': 113.5, 'passing': 117.8, 'standardDowns': 117, 'passingDowns': 111.3, 'runRate': 0.47, 'pace': 2.5}","{'ranking': 4, 'rating': 13.9, 'success': 124.5, 'explosiveness': 113.9, 'rushing': 121, 'passing': 118.8, 'standardDowns': 121.3, 'passingDowns': 117.8, 'havoc': {'total': 0.17800000000000002, 'frontSeven': 0.091, 'db': 0.086}}",{'rating': 0.4}
2016,Oklahoma,SEC,26.1,4.0,11.0,0.864,"{'ranking': 1, 'rating': 48.7, 'success': 122.5, 'explosiveness': 114.8, 'rushing': 112.1, 'passing': 127.7, 'standardDowns': 115.8, 'passingDowns': 124.2, 'runRate': 0.542, 'pace': 0.4}","{'ranking': 31, 'rating': 22.9, 'success': 110.7, 'explosiveness': 98.9, 'rushing': 105.5, 'passing': 106.6, 'standardDowns': 108.2, 'passingDowns': 100.9, 'havoc': {'total': 0.147, 'frontSeven': 0.09, 'db': 0.055999999999999994}}",{'rating': 0.3}
2016,LSU,SEC,25.3,5.0,9.5,0.816,"{'ranking': 40, 'rating': 34.2, 'success': 109.7, 'explosiveness': 106.5, 'rushing': 113.3, 'passing': 104.2, 'standardDowns': 108.6, 'passingDowns': 103.8, 'runRate': 0.565, 'pace': 3.6}","{'ranking': 2, 'rating': 9, 'success': 131.3, 'explosiveness': 113.9, 'rushing': 126.7, 'passing': 118.8, 'standardDowns': 120.3, 'passingDowns': 126.7, 'havoc': {'total': 0.188, 'frontSeven': 0.1, 'db': 0.08800000000000001}}",{'rating': 0.2}
2016,Michigan,Big Ten,24.4,6.0,10.4,0.863,"{'ranking': 35, 'rating': 34.8, 'success': 111.5, 'explosiveness': 100.6, 'rushing': 106.8, 'passing': 108.6, 'standardDowns': 106.2, 'passingDowns': 108, 'runRate': 0.556, 'pace': 1.2}","{'ranking': 3, 'rating': 11.1, 'success': 141.1, 'explosiveness': 93, 'rushing': 113.6, 'passing': 117.6, 'standardDowns': 120.2, 'passingDowns': 106.7, 'havoc': {'total': 0.24, 'frontSeven': 0.16, 'db': 0.08}}",{'rating': 0.7}
2016,Florida State,ACC,24.0,7.0,10.6,0.806,"{'ranking': 5, 'rating': 42.6, 'success': 119.4, 'explosiveness': 109, 'rushing': 119.6, 'passing': 110.9, 'standardDowns': 111.7, 'passingDowns': 118.4, 'runRate': 0.503, 'pace': 2.2}","{'ranking': 17, 'rating': 18.8, 'success': 116.3, 'explosiveness': 99, 'rushing': 113.9, 'passing': 107.3, 'standardDowns': 109, 'passingDowns': 105.2, 'havoc': {'total': 0.185, 'frontSeven': 0.124, 'db': 0.06}}",{'rating': 0.2}
2016,USC,Big Ten,23.6,8.0,10.0,0.819,"{'ranking': 19, 'rating': 39.2, 'success': 117.3, 'explosiveness': 102.9, 'rushing': 105.9, 'passing': 113.3, 'standardDowns': 108, 'passingDowns': 117.2, 'runRate': 0.47100000000000003, 'pace': 1.1}","{'ranking': 9, 'rating': 17.1, 'success': 116, 'explosiveness': 104.6, 'rushing': 114.5, 'passing': 110.8, 'standardDowns': 109.5, 'passingDowns': 115.8, 'havoc': {'total': 0.171, 'frontSeven': 0.086, 'db': 0.085}}",{'rating': 1.5}
2016,Louisville,ACC,22.9,9.0,9.9,0.863,"{'ranking': 8, 'rating': 40.8, 'success': 121.6, 'explosiveness': 114.7, 'rushing': 130.7, 'passing': 109.3, 'standardDowns': 120.2, 'passingDowns': 110.3, 'runRate': 0.47600000000000003, 'pace': -1.7}","{'ranking': 15, 'rating': 17.7, 'success': 119, 'explosiveness': 94.6, 'rushing': 116.9, 'passing': 101.5, 'standardDowns': 109.5, 'passingDowns': 104.9, 'havoc': {'total': 0.183, 'frontSeven': 0.11699999999999999, 'db': 0.066}}",{'rating': -0.2}
2016,Ohio State,Big Ten,22.4,10.0,9.2,0.816,"{'ranking': 32, 'rating': 35.6, 'success': 119.9, 'explosiveness': 92, 'rushing': 120.4, 'passing': 98.6, 'standardDowns': 111.1, 'passingDowns': 99.4, 'runRate': 0.547, 'pace': 0.3}","{'ranking': 8, 'rating': 15, 'success': 122.4, 'explosiveness': 102, 'rushing': 112.7, 'passing': 113.9, 'standardDowns': 116.8, 'passingDowns': 106.3, 'havoc': {'total': 0.187, 'frontSeven': 0.115, 'db': 0.07200000000000001}}",{'rating': 1.7}
