year,team,conference,division,ranking,rating
2017,Georgia,SEC,East,1,27.0164531385255
2017,Alabama,SEC,West,2,26.3060179322481
2017,Clemson,ACC,Atlantic,3,25.9111063647982
2017,Penn State,Big Ten,East,4,25.5987528157465
2017,Ohio State,Big Ten,East,5,25.5778370246385
2017,Wisconsin,Big Ten,West,6,24.7492194308228
2017,Auburn,SEC,West,7,23.6191305799199
2017,Oklahoma,Big 12,,8,22.6831040775295
2017,Notre Dame,FBS Independents,,9,21.959653081204
2017,UCF,American Athletic,East,10,20.6959054358322
2017,Washington,Pac-12,North,11,20.0662803526103
2017,Oklahoma State,Big 12,,12,18.425085780182
2017,TCU,Big 12,,13,16.7864365163013
2017,Iowa,Big Ten,West,14,16.2756896302117
2017,Miami,ACC,Coastal,15,15.8091999269009
2017,Virginia Tech,ACC,Coastal,16,14.813382014659
2017,Iowa State,Big 12,,17,14.2790223637207
2017,Mississippi State,SEC,West,18,14.0870176819688
2017,Wake Forest,ACC,Atlantic,19,13.7873319551826
2017,NC State,ACC,Atlantic,20,13.6723026611975
2017,Louisville,ACC,Atlantic,21,13.2800344564996
2017,Northwestern,Big Ten,West,22,13.1430488250108
2017,Michigan,Big Ten,East,23,12.9120986672868
2017,Michigan State,Big Ten,East,24,12.785506440005
2017,Stanford,Pac-12,North,25,12.5403389470165
2017,LSU,SEC,West,26,12.064126228206
2017,USC,Pac-12,South,27,11.8614513068255
2017,Boston College,ACC,Atlantic,28,11.1763068016829
2017,Texas,Big 12,,29,11.1331117875227
2017,Purdue,Big Ten,West,30,10.8313399208933
2017,Memphis,American Athletic,West,31,10.5167012900206
2017,Florida State,ACC,Atlantic,32,10.0831350696218
2017,Florida Atlantic,Conference USA,East,33,9.54547051192018
2017,South Florida,American Athletic,East,34,8.9384687841088
2017,Georgia Tech,ACC,Coastal,35,8.6666464681641
2017,Duke,ACC,Coastal,36,8.34258064029621
2017,Boise State,Mountain West,Mountain,37,7.68447172099942
2017,Utah,Pac-12,South,38,7.3204491486255
2017,South Carolina,SEC,East,39,7.29522125966418
2017,Kansas State,Big 12,,40,7.27275434272494
2017,Washington State,Pac-12,North,41,6.5577653232264
2017,West Virginia,Big 12,,42,6.50630147216285
2017,Navy,American Athletic,West,43,6.05995127040955
2017,Indiana,Big Ten,East,44,5.99142470678407
2017,Texas A&M,SEC,West,45,5.43885846914921
2017,Missouri,SEC,East,46,5.33086334455447
2017,Texas Tech,Big 12,,47,4.76658949752651
2017,Oregon,Pac-12,North,48,4.59333163396184
2017,Pittsburgh,ACC,Coastal,49,3.89430903036652
2017,Toledo,Mid-American,West,50,3.83864286873888
2017,Arizona,Pac-12,South,51,3.41128037170948
2017,Fresno State,Mountain West,West,52,3.31817852056457
2017,San Diego State,Mountain West,West,53,3.14522315454417
2017,Ohio,Mid-American,East,54,2.83564605816735
2017,Minnesota,Big Ten,West,55,2.82346139898999
2017,Houston,American Athletic,West,56,2.70636856766759
2017,Arizona State,Pac-12,South,57,2.58581672689037
2017,California,Pac-12,North,58,1.94250968331527
2017,Ole Miss,SEC,West,59,1.62888776088941
2017,App State,Sun Belt,West,60,1.59446064798994
2017,Troy,Sun Belt,East,61,1.24301689477253
2017,Syracuse,ACC,Atlantic,62,1.02534234907904
2017,Army,FBS Independents,,63,0.874934707123565
