season,team
2025,Sam Houston
2025,Delaware
2025,Jacksonville State
2025,Missouri State
2025,Akron
2025,Air Force
2025,App State
2025,Arizona
2025,Arkansas State
2025,Auburn
2025,Ball State
2025,Baylor
2025,Boise State
2025,Buffalo
2025,BYU
2025,California
2025,Central Michigan
2025,Charlotte
2025,Cincinnati
2025,Colorado
2025,Colorado State
2025,Duke
2025,East Carolina
2025,Eastern Michigan
2025,Florida
2025,Florida Atlantic
2025,South Alabama
2025,Bowling Green
2025,UL Monroe
2025,Georgia
2025,Hawai'i
2025,Iowa
2025,Iowa State
2025,James Madison
2025,Kansas
2025,Kent State
2025,Louisiana
2025,Louisiana Tech
2025,Marshall
2025,Miami
2025,Miami (OH)
2025,Michigan
2025,Michigan State
2025,Mississippi State
2025,Navy
2025,NC State
2025,Nevada
2025,New Mexico State
2025,Notre Dame
2025,Ohio
2025,Ohio State
2025,Oklahoma State
2025,Ole Miss
2025,Oregon
2025,Oregon State
2025,Penn State
2025,Purdue
2025,Rice
2025,Rutgers
2025,SMU
2025,New Mexico
2025,South Carolina
2025,Southern Miss
2025,South Florida
2025,Stanford
2025,TCU
2025,Temple
2025,Tennessee
2025,Texas A&M
2025,Texas Tech
2025,Toledo
2025,UAB
2025,UCLA
2025,Massachusetts
2025,UNLV
2025,USC
2025,UTSA
2025,Virginia
2025,Virginia Tech
2025,Washington
2025,Western Michigan
2025,Wisconsin
2025,Wyoming
2025,San Diego State
2025,Utah
2025,Wake Forest
2025,UCF
2025,Tulane
2025,Tulsa
2025,Texas
2025,West Virginia
2025,Vanderbilt
2025,Washington State
2025,Syracuse
2025,Troy
2025,Utah State
2025,Texas State
2025,Western Kentucky
2025,UTEP
2025,Northwestern
2025,Florida International
2025,Missouri
2025,Minnesota
2025,Illinois
2025,San José State
2025,Oklahoma
2025,Army
2025,Alabama
2025,Kansas State
2025,Maryland
2025,Louisville
2025,Pittsburgh
2025,Indiana
2025,Nebraska
2025,Northern Illinois
2025,Georgia Southern
2025,Liberty
2025,Houston
2025,Middle Tennessee
2025,Memphis
2025,Kentucky
2025,Georgia Tech
2025,Arizona State
2025,UConn
2025,Boston College
2025,North Carolina
2025,Old Dominion
2025,Coastal Carolina
2025,Georgia State
2025,Kennesaw State
2025,LSU
2025,North Texas
2025,Clemson
2025,Fresno State
2025,Arkansas
2025,Florida State
