team,sp_preseason,sp_off_pre,sp_def_pre,year
Ohio State,31.8,40.6,8.8,2026
Oregon,28.3,40.7,12.6,2026
Notre Dame,25.8,40.2,14.6,2026
Georgia,25.5,38.2,13.3,2026
Indiana,24.5,37.4,13.5,2026
Texas,23.7,37.6,14.3,2026
Texas Tech,23.1,37.6,14.7,2026
Miami,21.0,34.4,13.7,2026
Texas A&M,20.3,37.3,16.7,2026
LSU,20.2,32.5,12.5,2026
Alabama,18.2,31.3,12.6,2026
Oklahoma,17.2,31.6,14.7,2026
USC,16.8,37.7,20.5,2026
Michigan,16.1,32.8,16.2,2026
Tennessee,16.0,38.7,23.0,2026
Ole Miss,15.9,35.0,19.7,2026
Penn St.,15.7,33.6,18.6,2026
BYU,15.5,33.3,18.1,2026
Florida,14.9,30.2,15.9,2026
Missouri,14.8,32.2,16.9,2026
Washington,14.5,32.4,17.6,2026
Iowa,13.6,30.3,17.3,2026
Clemson,12.8,29.5,17.0,2026
S. Carolina,12.1,29.9,18.4,2026
Utah,11.9,33.0,21.1,2026
Auburn,11.2,28.4,17.5,2026
Louisville,11.0,30.6,19.7,2026
SMU,10.9,31.9,20.7,2026
Kansas St.,10.4,33.1,23.0,2026
Arizona,10.2,31.5,20.8,2026
Vanderbilt,10.0,33.4,24.1,2026
Va. Tech,9.4,31.1,21.5,2026
Illinois,9.3,31.5,22.7,2026
TCU,9.1,31.3,21.9,2026
Florida St.,8.8,29.7,20.6,2026
Houston,8.2,31.3,22.8,2026
Nebraska,7.7,29.2,21.5,2026
Oklahoma St.,7.1,30.0,23.4,2026
Boise State,6.8,29.9,22.8,2026
Virginia,6.6,26.3,19.9,2026
Pittsburgh,6.5,30.2,23.8,2026
Arizona St.,6.4,28.2,21.2,2026
Ga. Tech,6.0,28.8,23.4,2026
Duke,5.7,32.8,27.5,2026
Minnesota,5.2,25.3,19.5,2026
UCLA,5.1,29.0,23.9,2026
Arkansas,5.0,34.1,29.3,2026
NC State,4.9,30.7,25.3,2026
Northwestern,4.6,24.5,20.4,2026
Cincinnati,4.5,29.6,25.4,2026
Baylor,4.5,32.2,28.3,2026
Miss. St.,3.9,30.1,26.7,2026
Kentucky,3.8,25.0,21.2,2026
N. Carolina,3.8,24.5,21.1,2026
Maryland,3.8,26.1,22.7,2026
California,3.7,29.2,25.2,2026
Kansas,3.7,29.0,25.9,2026
Wake Forest,3.6,24.2,20.7,2026
UNLV,2.8,31.2,28.4,2026
UCF,2.3,24.5,22.1,2026
Wisconsin,1.8,20.6,18.5,2026
Rutgers,1.8,30.4,28.7,2026
Navy,1.1,27.8,26.9,2026
Iowa State,1.0,22.9,22.4,2026
Colorado,0.9,26.3,24.9,2026
W. Virginia,0.8,26.3,25.6,2026
Michigan St.,0.4,26.7,25.9,2026
New Mexico,-0.5,25.3,26.4,2026
Syracuse,-0.7,23.9,25.0,2026
Memphis,-1.1,28.3,30.0,2026
SDSU,-1.3,23.1,25.0,2026
NDSU,-1.4,24.4,25.8,2026
UTSA,-1.5,29.5,31.2,2026
Boston Coll.,-1.5,25.4,27.4,2026
Stanford,-1.9,22.7,24.0,2026
ECU,-2.0,24.2,26.0,2026
JMU,-2.1,25.0,26.7,2026
Fresno St.,-2.3,20.6,22.9,2026
Air Force,-2.4,25.3,27.7,2026
USF,-2.8,27.5,30.1,2026
Miami-OH,-2.9,19.5,22.9,2026
Purdue,-2.9,23.8,27.4,2026
Army,-3.0,24.5,27.6,2026
Hawaii,-3.9,25.3,29.8,2026
Wash. St.,-5.3,19.9,25.1,2026
WKU,-5.3,25.2,31.0,2026
Tulane,-5.5,22.2,28.3,2026
ODU,-5.8,20.2,25.3,2026
Texas St.,-5.9,31.8,37.8,2026
Troy,-6.0,23.6,29.8,2026
Oregon St.,-6.3,20.9,26.5,2026
Marshall,-6.4,28.5,35.2,2026
Liberty,-6.4,25.5,31.7,2026
FAU,-7.1,27.2,34.9,2026
WMU,-7.2,19.0,25.8,2026
Tulsa,-7.6,23.5,31.7,2026
Utah St.,-7.7,23.7,30.9,2026
J'ville State,-7.7,24.8,32.0,2026
Colorado St.,-8.3,18.8,27.0,2026
La. Tech,-8.3,22.3,30.6,2026
Arkansas St.,-8.5,23.7,32.3,2026
Temple,-8.7,25.2,34.3,2026
Ga. Southern,-8.9,23.2,32.1,2026
Louisiana,-9.1,25.2,33.9,2026
Kennesaw St.,-9.3,21.3,30.1,2026
Wyoming,-9.6,16.0,25.0,2026
UConn,-11.2,20.3,32.1,2026
Toledo,-11.5,16.7,27.9,2026
North Texas,-11.8,23.6,35.2,2026
Buffalo,-11.9,15.7,28.1,2026
App. St.,-12.1,21.2,33.6,2026
Nevada,-12.2,17.4,30.0,2026
CMU,-12.4,17.4,29.6,2026
Delaware,-13.0,22.7,35.4,2026
BGSU,-13.3,14.8,28.3,2026
S. Alabama,-13.3,22.7,35.4,2026
Ohio,-13.6,13.3,26.2,2026
FIU,-13.7,21.5,35.0,2026
Coastal Caro.,-13.8,21.1,34.4,2026
Rice,-14.7,17.0,32.2,2026
EMU,-15.0,17.8,32.8,2026
SJSU,-15.5,18.6,33.6,2026
NMSU,-16.4,17.0,33.4,2026
UAB,-18.1,20.3,37.9,2026
NIU,-18.2,13.8,31.8,2026
Missouri St.,-18.7,16.7,34.9,2026
Akron,-19.5,13.0,31.9,2026
Kent St.,-20.1,15.9,35.5,2026
UTEP,-20.5,14.7,34.7,2026
Sac State,-22.7,15.1,37.9,2026
So. Miss,-23.3,16.4,39.2,2026
UL-Monroe,-24.3,14.3,37.9,2026
Georgia St.,-25.1,17.0,41.4,2026
Ball State,-25.2,12.2,36.7,2026
MTSU,-26.0,13.7,39.9,2026
Sam Houston,-26.3,14.1,40.0,2026
UMass,-30.9,9.6,40.1,2026
Charlotte,-32.4,10.4,42.3,2026
