feature,importance,model
home_lookahead,283,GBM component
away_lookahead,269,GBM component
havoc_diff,147,GBM component
away_def_epa_roll3,141,GBM component
away_sp_offense,140,GBM component
wepa_explosiveness_diff,128,GBM component
travel_disadvantage,127,GBM component
portal_net_rating_diff,123,GBM component
ret_ppa_diff,123,GBM component
away_def_epa_ytd,115,GBM component
away_off_epa_ytd,114,GBM component
elo_diff,114,GBM component
home_off_epa_roll3,113,GBM component
home_adj_off_epa_roll3,112,GBM component
spread_magnitude,110,GBM component
away_adj_off_epa_roll3,107,GBM component
turnover_margin_diff,105,GBM component
away_sp_defense,104,GBM component
home_off_epa_ytd,102,GBM component
home_adj_def_epa_roll3,100,GBM component
home_def_epa_ytd,99,GBM component
hfa_diff,95,GBM component
rush_sr_diff,94,GBM component
recruiting_diff,91,GBM component
home_sp_defense,87,GBM component
home_def_epa_roll3,86,GBM component
srs_diff,85,GBM component
home_pass_success_rate,83,GBM component
away_ret_pass_ppa_pct,82,GBM component
home_ret_pass_ppa_pct,82,GBM component
explosiveness_net_diff,81,GBM component
away_pass_success_rate,77,GBM component
away_adj_def_epa_roll3,72,GBM component
wepa_off_diff,70,GBM component
wepa_def_diff,69,GBM component
talent_diff,59,GBM component
away_ret_ppa_pct,56,GBM component
away_off_epa_roll3,45,GBM component
home_ret_ppa_pct,43,GBM component
home_sandwich,43,GBM component
sp_diff,39,GBM component
fpi_diff,38,GBM component
home_sp_offense,35,GBM component
week_num,31,GBM component
away_sandwich,26,GBM component
away_portal_qb_in,17,GBM component
altitude_diff,15,GBM component
rest_diff,10,GBM component
home_portal_qb_in,9,GBM component
conference_game,5,GBM component
long_haul_away,2,GBM component
is_postseason,0,GBM component
late_season,0,GBM component
neutral_site,0,GBM component
alt_shock_away,0,GBM component
